M-sce,Skrót,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Σ
1, YCG,Yacht Club Gdańsk,1,2,,2,2,,1,1,,1,1,,1,1,,1,2,,16
2, YKP,Yacht Klub Polski Gdynia,,1,1,1,1,,2,,1,,5,1,3,2,,3,,7 (DNC),28
3, WOL,UKS Albatros Wolin,5,,3,3,3,,,2,4,4,,2,2,5,,,1,3,37
4, 77R,77racing Club,2,,4,5,,1,,3,2,5,,4,5,,1,,5,1,38
5, JSG,Jachtklub Stoczni Gdańskiej,4,,2,,7 (OCS),2,,4,5,3,,6,,3,2,,3,5,46
6, JMZ,JK Między Żaglami,,4,5,4,,4,3,,6,,3,3,7 (DNF),,4,2,,2,47
7, AWF,AZS AWF Gdańsk,3,3,,6,,3,4,6,,2,4,,4,,3,4,7 (DNF),,49
8, POW,SKŻ Powidz,,5,6,,5,5,7 (DNF),,3,,2,5,,7 (OCS),6,5,,4,60
9, LAS,RKS Lasery Zegrze,6,6,,,4,6,5,5,,6,6,,,4,5,6,4,,63
