ID_wystepowania,ID_Zawodnika,ID_Regat,ID_wariantu_klubu,WynikWRegatach,Trening
,43188873,9664111,49746069,,
,11120520,9664111,49746069,,
,66922321,9664111,49746069,,
,56650447,9664111,49746069,,
,56650447,70902597,49746069,,
,43188873,70902597,49746069,,
,66922321,70902597,49746069,,
,11120520,70902597,49746069,,
,56650447,94367801,49746069,,
,66922321,94367801,49746069,,
,43188873,94367801,49746069,,
,11120520,94367801,49746069,,
,8752163,74940339,49746069,,
,43188873,74940339,49746069,,
,66922321,74940339,49746069,,
,11120520,74940339,49746069,,
,37013631,74940339,49746069,,
,80560727,9664111,53442767,,
,85974381,9664111,53442767,,
,8649496,9664111,53442767,,
,9824398,9664111,53442767,,
,80560727,70902597,53442767,,
,21737312,70902597,53442767,,
,8649496,70902597,53442767,,
,45905168,70902597,53442767,,
,80560727,94367801,53442767,,
,8304211,94367801,53442767,,
,21737312,94367801,53442767,,
,45905168,94367801,53442767,,
,28164958,94367801,53442767,,
,80560727,74940339,53442767,,
,21737312,74940339,53442767,,
,8649496,74940339,53442767,,
,45905168,74940339,53442767,,
,22505841,74940339,53442767,,
,90931025,9664111,21267167,,
,47496297,9664111,21267167,,
,15897980,9664111,21267167,,
,24283626,9664111,21267167,,
,47499738,70902597,21267167,,
,47496297,70902597,21267167,,
,24283626,70902597,21267167,,
,15897980,70902597,21267167,,
,47499738,94367801,21267167,,
,24283626,94367801,21267167,,
,47496297,94367801,21267167,,
,15897980,94367801,21267167,,
,47499738,74940339,21267167,,
,47496297,74940339,21267167,,
,24283626,74940339,21267167,,
,15897980,74940339,21267167,,
,43178531,9664111,832153,,
,69999258,9664111,832153,,
,84819929,9664111,832153,,
,27014000,9664111,832153,,
,43178531,70902597,832153,,
,37013631,70902597,832153,,
,42447083,70902597,832153,,
,84819929,70902597,832153,,
,43178531,94367801,832153,,
,84819929,94367801,832153,,
,27014000,94367801,832153,,
,69999258,94367801,832153,,
,43178531,74940339,832153,,
,84819929,74940339,832153,,
,69999258,74940339,832153,,
,27014000,74940339,832153,,
,26079844,9664111,77473926,,
,92539064,9664111,77473926,,
,16925860,9664111,77473926,,
,44809190,9664111,77473926,,
,26079844,70902597,77473926,,
,69076610,70902597,77473926,,
,92539064,70902597,77473926,,
,56799050,70902597,77473926,,
,56799050,94367801,77473926,,
,69076610,94367801,77473926,,
,92539064,94367801,77473926,,
,53485877,94367801,77473926,,
,12724186,94367801,77473926,,
,44809190,74940339,77473926,,
,16925860,74940339,77473926,,
,26079844,74940339,77473926,,
,40519863,74940339,77473926,,
,61838003,9664111,75141924,,
,90482603,9664111,75141924,,
