Zawodnik,ID_klubu,rok,regaty,numer rundy,poziom_ligi
Marcin Banaszek,LEG,2019,Gdynia (EX) / Sopot (1L),2,Ekstraklasa
Paweł Górski,YCS,2019,Gdynia (EX) / Sopot (1L),2,Ekstraklasa
Przemek Chlebowski,YCS,2019,Gdynia (EX) / Sopot (1L),2,Ekstraklasa
Rafał Sawicki,YKP,2019,Gdynia (EX) / Sopot (1L),2,1 Liga
Wiktor Plitko,OKZ,2019,Gdynia (EX) / Sopot (1L),2,Ekstraklasa
Aleksander Michalski,OKZ,2019,Świnoujście (EX) / Szczecin (1L),3,Ekstraklasa
Bartosz Sadowski,YCG,2019,Świnoujście (EX) / Szczecin (1L),3,1 Liga
Jakub Pawluk,LEG,2019,Świnoujście (EX) / Szczecin (1L),3,Ekstraklasa
Maciek Garniewski,DZY,2019,Świnoujście (EX) / Szczecin (1L),3,Ekstraklasa
Marcin Banaszek,LEG,2019,Świnoujście (EX) / Szczecin (1L),3,Ekstraklasa
Paweł Górski,YCS,2019,Świnoujście (EX) / Szczecin (1L),3,Ekstraklasa
Przemek Chlebowski,YCS,2019,Świnoujście (EX) / Szczecin (1L),3,Ekstraklasa
Rafał Sawicki,YKP,2019,Świnoujście (EX) / Szczecin (1L),3,1 Liga
Szymon Jabłkowski,DZY,2019,Świnoujście (EX) / Szczecin (1L),3,Ekstraklasa
Wiktor Plitko,OKZ,2019,Świnoujście (EX) / Szczecin (1L),3,Ekstraklasa
Aleksander Michalski,OKZ,2019,Szczecin (EX i 1L),4,Ekstraklasa
Bartosz Sadowski,YCG,2019,Szczecin (EX i 1L),4,1 Liga
Jakub Pawluk,LEG,2019,Szczecin (EX i 1L),4,Ekstraklasa
Maciek Garniewski,DZY,2019,Szczecin (EX i 1L),4,Ekstraklasa
Marcin Banaszek,LEG,2019,Szczecin (EX i 1L),4,Ekstraklasa
Paweł Górski,YCS,2019,Szczecin (EX i 1L),4,Ekstraklasa
Paweł Nawrocki,JKM,2019,Szczecin (EX i 1L),4,Ekstraklasa
Przemek Chlebowski,YCS,2019,Szczecin (EX i 1L),4,Ekstraklasa
Rafał Sawicki,YKP,2019,Szczecin (EX i 1L),4,1 Liga
Wiktor Plitko,OKZ,2019,Szczecin (EX i 1L),4,Ekstraklasa
Aleksander Michalski,OKZ,2020,Szczecin (EX) / Sopot (1L),1,Ekstraklasa
Jakub Pawluk,LEG,2020,Szczecin (EX) / Sopot (1L),1,Ekstraklasa
Krzysztof Małecki,YCG,2020,Szczecin (EX) / Sopot (1L),1,Ekstraklasa
Maciek Garniewski,DZY,2020,Szczecin (EX) / Sopot (1L),1,Ekstraklasa
Marcin Banaszek,LEG,2020,Szczecin (EX) / Sopot (1L),1,Ekstraklasa
Mateusz Kaczmarowski,SPO,2020,Szczecin (EX) / Sopot (1L),1,1 Liga
Paweł Górski,YCS,2020,Szczecin (EX) / Sopot (1L),1,Ekstraklasa
Przemek Chlebowski,YCS,2020,Szczecin (EX) / Sopot (1L),1,Ekstraklasa
Rafał Sawicki,YKP,2020,Szczecin (EX) / Sopot (1L),1,Ekstraklasa
Wiktor Plitko,OKZ,2020,Szczecin (EX) / Sopot (1L),1,Ekstraklasa
Aleksander Michalski,OKZ,2020,Sopot (EX i 1L),2,Ekstraklasa
Jakub Pawluk,LEG,2020,Sopot (EX i 1L),2,Ekstraklasa
Kajetan Januszewski,PGR,2020,Sopot (EX i 1L),2,1 Liga
Krzysztof Małecki,YCG,2020,Sopot (EX i 1L),2,Ekstraklasa
Maciek Garniewski,DZY,2020,Sopot (EX i 1L),2,Ekstraklasa
Marcin Banaszek,LEG,2020,Sopot (EX i 1L),2,Ekstraklasa
Mateusz Kaczmarowski,SPO,2020,Sopot (EX i 1L),2,1 Liga
Paweł Górski,YCS,2020,Sopot (EX i 1L),2,Ekstraklasa
