Zawodnik,ID_klubu,rok,regaty,numer rundy,poziom_ligi
Karolina Żurek,RSR,2023,Sztynort,4,Ekstraklasa
Krzysztof Małecki,NSO,2023,Sztynort,4,Ekstraklasa
Magdalena Kwaśna,YKL,2023,Sztynort,4,Ekstraklasa
Maksymilian Burdziej,PGR,2023,Sztynort,4,Ekstraklasa
Marcin Banaszek,LEG,2023,Sztynort,4,Ekstraklasa
Mateusz Kaczmarowski,SPO,2023,Sztynort,4,1 Liga
Mateusz Wiśniewski,AWF,2023,Sztynort,4,Ekstraklasa
Max Pawłowski,YCG,2023,Sztynort,4,Ekstraklasa
Patryk Wojtkiewicz,NSO,2023,Sztynort,4,Ekstraklasa
Paweł Górski,YCS,2023,Sztynort,4,Ekstraklasa
Paweł Leksycki,RSR,2023,Sztynort,4,Ekstraklasa
Paweł Nawrocki,YCB,2023,Sztynort,4,1 Liga
Przemek Chlebowski,YCS,2023,Sztynort,4,Ekstraklasa
Przemysław Witkowski,KKZ,2023,Sztynort,4,1 Liga
Rafał Sawicki,YKP,2023,Sztynort,4,Ekstraklasa
Szymon Jabłkowski,ONB,2023,Sztynort,4,2 Liga
Weronika Jaroszek,WOL,2023,Sztynort,4,1 Liga
Wiktor Plitko,NSO,2023,Sztynort,4,Ekstraklasa
