ID_wynikRegat,regaty,klub,miejsceWRegatach
,50632845,YS2,7
,50632845,GAR,8
,50632845,NAV,9
,50632845,NIE,10
,50632845,HAL,11
,50632845,JSG,12
,50632845,ODY,13
,50632845,MEW,14
,50632845,GRP,15
,50632845,PJK,16
,50632845,POW,17
,50632845,ETI,18
,60773118,WOL,1
,60773118,SPO,2
,60773118,OCC,3
,60773118,NIE,4
,60773118,KKZ,5
,60773118,YCB,6
,60773118,PJK,7
,60773118,SLA,8
,60773118,GRP,9
,60773118,GAR,10
,60773118,JSG,11
,60773118,HAL,12
,60773118,NAV,13
,60773118,YS2,14
,60773118,POW,15
,60773118,MEW,16
,60773118,ODY,17
,60773118,ETI,18
,23242296,SLA,1
,23242296,WOL,2
,23242296,NIE,3
,23242296,NAV,4
,23242296,PJK,5
,23242296,GAR,6
,23242296,SPO,7
,23242296,OCC,8
,23242296,JSG,9
,23242296,KKZ,10
,23242296,YS2,11
,23242296,YCB,12
,23242296,POW,13
,23242296,ODY,14
,23242296,HAL,15
,23242296,ETI,16
,23242296,MEW,17
,23242296,GRP,18
,32915456,ONB,1
,32915456,SLA,2
,32915456,ISK,3
,32915456,NIE,4
,32915456,GAR,5
,32915456,BSA,6
,32915456,YKW,7
,32915456,MEC,8
,32915456,YCB,9
,32915456,SZT,10
,32915456,PJK,11
,32915456,JSG,12
,32915456,HAL,13
,32915456,ODY,14
,32915456,ETI,15
,32915456,OKZ,16
,32915456,YS2,17
,32915456,NAV,18
,8389469,ISK,1
,8389469,ONB,2
,8389469,SZT,3
,8389469,BSA,4
,8389469,NIE,5
,8389469,GAR,6
,8389469,HAL,7
,8389469,YS2,8
,8389469,SLA,9
,8389469,OKZ,10
,8389469,ODY,11
,8389469,YCB,12
,8389469,MEC,13
,8389469,YKW,14
,8389469,NAV,15
,8389469,ETI,16
,8389469,JSG,17
,8389469,PJK,18
,16432618,MEC,1
,16432618,GAR,2
,16432618,SZT,3
,16432618,YCB,4
,16432618,ISK,5
,16432618,NAV,6
,16432618,NIE,7
,16432618,ONB,8
,16432618,OKZ,9
,16432618,BSA,10
,16432618,YS2,11
,16432618,PJK,12
,16432618,HAL,13
,16432618,JSG,14
,16432618,ODY,15
,16432618,ETI,16
,16432618,SLA,17
,16432618,YKW,18
,19492707,SZT,1
,19492707,OKZ,2
,19492707,JSG,3
,19492707,NIE,4
,19492707,ONB,5
,19492707,ISK,6
,19492707,MEC,7
,19492707,YCB,8
,19492707,SLA,9
,19492707,GAR,10
,19492707,NAV,11
,19492707,PJK,12
,19492707,BSA,13
,19492707,YKW,14
,19492707,ODY,15
,19492707,YS2,16
,19492707,ETI,17
,19492707,HAL,18
,69259421,PGR,1
,69259421,FLO,2
,69259421,YKW,3
,69259421,SLA,4
,69259421,OKZ,5
,69259421,GAR,6
,69259421,TBD,7
,69259421,MAG,8
,69259421,PRN,9
,69259421,YCB,10
,69259421,OGR,11
,69259421,WOL,12
,69259421,HAL,13
,69259421,TXT,14
,69259421,NAV,15
,69259421,JSG,16
,69259421,KKZ,17
,69259421,YS2,18
,87373489,OGR,1
,87373489,PRN,2
,87373489,PGR,3
,87373489,SLA,4
,87373489,GAR,5
,87373489,FLO,6
,87373489,YKW,7
,87373489,MAG,8
,87373489,TXT,9
,87373489,TBD,10
,87373489,JSG,11
,87373489,OKZ,12
,87373489,WOL,13
,87373489,KKZ,14
,87373489,YCB,15
,87373489,HAL,16
,87373489,NAV,17
,87373489,YS2,18
,16117658,WOL,1
,16117658,YKW,2
,16117658,GAR,3
,16117658,MAG,4
,16117658,PGR,5
,16117658,PRN,6
,16117658,OKZ,7
,16117658,FLO,8
,16117658,TXT,9
,16117658,KKZ,10
,16117658,SLA,11
,16117658,OGR,12
,16117658,YCB,13
,16117658,TBD,14
,16117658,HAL,15
,16117658,NAV,16
,16117658,YS2,17
,16117658,JSG,18
,79701472,PGR,1
,79701472,FLO,2
,79701472,NAV,3
,79701472,SLA,4
,79701472,OGR,5
,79701472,WOL,6
,79701472,GAR,7
,79701472,YKW,8
,79701472,MAG,9
,79701472,TXT,10
,79701472,YS2,11
,79701472,PRN,12
,79701472,TBD,13
,79701472,HAL,14
,79701472,OKZ,15
,79701472,JSG,16
,79701472,YCB,17
,79701472,KKZ,18
,65285653,MIC,1
,65285653,YZ2,2
,65285653,HAL,3
,65285653,POW,4
,65285653,YKW,5
,65285653,RBP,6
,65285653,SAT,7
,65285653,WTR,8
,51774063,MIC,1
,51774063,YKW,2
,51774063,POW,3
,51774063,HAL,4
,51774063,RBP,5
,51774063,WTR,6
,51774063,YZ2,7
,51774063,SAT,8
,72731202,MIC,1
,72731202,POW,2
,72731202,YZ2,3
,72731202,YKW,4
,72731202,RBP,5
,72731202,HAL,6
,72731202,WTR,7
,72731202,SAT,8
,72731202,PJ2,9
,71128501,HAL,1
,71128501,MIC,2
,71128501,YZ2,3
,71128501,POW,4
,71128501,SAT,5
,71128501,YKW,6
,71128501,RBP,7
,71128501,PJ2,8
,71128501,WTR,9
,98027676,ONB,1
,98027676,NSZ,2
,98027676,YKW,3
,98027676,BSA,4
,98027676,MEC,5
,98027676,SRC,6
,98027676,R2S,7
,98027676,YZ2,8
,98027676,SOL,9
,98027676,RBP,10
,98027676,HEA,11
,75270731,MEC,1
,75270731,YKW,2
,75270731,BSA,3
,75270731,ONB,4
,75270731,YZ2,5
,75270731,NSZ,6
,75270731,SOL,7
,75270731,RBP,8
,75270731,HEA,9
,75270731,SRC,10
,75270731,R2S,11
,44960821,ONB,1
,44960821,MEC,2
,44960821,BSA,3
,44960821,NSZ,4
,44960821,YKW,5
,44960821,SOL,6
,44960821,R2S,7
,44960821,YZ2,8
,44960821,RBP,9
,44960821,HEA,10
,44960821,SRC,11
,44960821,AZS,12
,39731721,BSA,1
,39731721,NSZ,2
,39731721,MEC,3
,39731721,ONB,4
,39731721,YKW,5
,39731721,AZS,6
,39731721,YZ2,7
,39731721,RBP,8
,39731721,SRC,9
,39731721,HEA,10
,77100366,JKW,1
,77100366,JKM,2
,77100366,YCS,3
,77100366,YKS,4
,77100366,OST,5
,77100366,MUKZ,6
,77100366,GOR,7
,77100366,DZY,8
,77100366,HORN,9
,42322105,YKS,1
,42322105,JKW,2
,42322105,GOR,3
,42322105,JKM,4
,42322105,YCS,5
,42322105,MUKZ,6
,42322105,KSO,7
,42322105,DZY,8
,73972099,MOS,1
,73972099,YCS,2
,73972099,YKS,3
,73972099,JKW,4
,73972099,GOR,5
,73972099,JKM,6
,73972099,DZY,7
,73972099,MUKZ,8
,73972099,OST,9
,73972099,YKW,10
,1584594,YCS,1
,1584594,MOS,2
,1584594,YKS,3
,1584594,GOR,4
,1584594,JKW,5
,1584594,GRY,6
,1584594,DZY,7
,1584594,OST,8
,1584594,MUKZ,9
,1584594,YKW,10
,46476906,RMR,1
,46476906,TZR,2
,46476906,YCS,3
,46476906,DZY,4
,46476906,GKZ,5
,46476906,JKKP,6
,46476906,PGR,7
,46476906,MOS,8
,46476906,JKW,9
,46476906,SZT,10
,46476906,JKM,11
,46476906,REW,12
,46476906,AWK,13
,34786669,JKKP,1
,34786669,TZR,2
,34786669,RMR,3
,34786669,SZT,4
,34786669,JKW,5
,34786669,AWK,6
,34786669,PGR,7
,34786669,DZY,8
,34786669,JKM,9
,34786669,YCS,10
,34786669,REW,11
,34786669,GKZ,12
,59734039,PGR,1
,59734039,REW,2
,59734039,MOS,3
,59734039,GKZ,4
,59734039,SZT,5
,59734039,JKKP,6
,59734039,JKW,7
,59734039,AWK,8
,59734039,JKM,9
,59734039,TZR,10
,59734039,YCS,11
,59734039,RMR,12
,59734039,DZY,13
,80803598,MOS,1
,80803598,PGR,2
,80803598,YCS,3
,80803598,RMR,4
,80803598,JKKP,5
,80803598,TZR,6
,80803598,AWK,7
,80803598,GKZ,8
,80803598,JKW,9
,80803598,JKM,10
,80803598,DZY,11
,80803598,SZT,12
,80803598,REW,13
,16861691,MOS,1
,16861691,JKKP,2
,16861691,YCS,3
,16861691,TZR,4
,16861691,LEGIA,5
,16861691,YCG,6
,16861691,KPM,7
,16861691,JKM,8
,16861691,YCS AWF,9
,16861691,DZYGIT,10
,16861691,OKZ,11
,16861691,JKW,12
,52984811,JKKP,1
,52984811,TZR,2
,52984811,MOS,3
,52984811,OKZ,4
,52984811,YCS,5
,52984811,DZYGIT,6
,52984811,JKM,7
,52984811,YCS AWF,8
,52984811,YCG,9
,85657695,YCS,1
,85657695,JKKP,2
,85657695,OKZ,3
,85657695,MOS,4
,85657695,DZYGIT,5
,85657695,LEGIA,6
,85657695,JKM,7
,85657695,YCG,8
,85657695,TZR,9
,85657695,YCS AWF,10
,85326506,YCS,1
,85326506,OKZ,2
,85326506,MOS,3
,85326506,JKKP,4
,85326506,TZR,5
,85326506,LEGIA,6
,85326506,YCS AWF,7
,85326506,JKM,8
,85326506,DZYGIT,9
,76884717,JEZ,1
,76884717,OKZ,2
,76884717,POG,3
,76884717,JK2,4
,76884717,DZY,5
,76884717,YCS,6
,76884717,LEG,7
,76884717,JKM,8
,76884717,WTZ,9
,76884717,ODY,10
,76884717,YC2,11
,76884717,BOL,12
,42903369,POG,1
,42903369,JEZ,2
,42903369,LEG,3
,42903369,OKZ,4
,42903369,JK2,5
,42903369,JKM,6
,42903369,WTZ,7
,42903369,YCS,8
,42903369,DZY,9
,42903369,ODY,10
,42903369,YC2,11
,42903369,BOL,12
,79990660,OKZ,1
,79990660,YCS,2
,79990660,JKM,3
,79990660,JEZ,4
,79990660,ODY,5
,79990660,LEG,6
,79990660,POG,7
,79990660,WTZ,8
,79990660,YC2,9
,79990660,BOL,10
,79990660,DZY,11
,79990660,ZEG,12
,23503367,OKZ,1
,23503367,LEG,2
,23503367,JEZ,3
,23503367,POG,4
,23503367,YCS,5
,23503367,ODY,6
,23503367,YC2,7
,23503367,JKM,8
,23503367,DZY,9
,23503367,WTZ,10
,23503367,ZEG,11
,23503367,BOL,12
,56840754,OKZ,1
,56840754,LEG,2
,56840754,JEZ,3
,56840754,GIŻ,4
,56840754,IS2,5
,56840754,SZT,6
,56840754,POG,7
,56840754,DZY,8
,56840754,YCS,9
,56840754,JKM,10
,56840754,OD2,11
,56840754,ODY,12
,81519758,IS2,1
,81519758,JEZ,2
,81519758,GIŻ,3
,81519758,LEG,4
,81519758,SZT,5
,81519758,POG,6
,81519758,OKZ,7
,81519758,JKM,8
,81519758,OD2,9
,81519758,DZY,10
,81519758,YCS,11
,81519758,ODY,12
,40323829,GIŻ,1
,40323829,JEZ,2
,40323829,POG,3
,40323829,LEG,4
,40323829,OKZ,5
,40323829,DZY,6
,40323829,SZT,7
,40323829,IS2,8
,40323829,ODY,9
,40323829,JKM,10
,40323829,YCS,11
,40323829,OD2,12
,27131848,GIŻ,1
,27131848,LEG,2
,27131848,SZT,3
,27131848,IS2,4
,27131848,POG,5
,27131848,JEZ,6
,27131848,JKM,7
,27131848,OKZ,8
,27131848,DZY,9
,27131848,ODY,10
,27131848,OD2,11
,27131848,YCS,12
,79103275,ISK,1
,79103275,YKP,2
,79103275,YCG,3
,79103275,GIZ,4
,79103275,POG,5
,79103275,77R,6
,79103275,SZT,7
,79103275,OKZ,8
,79103275,LEG,9
,79103275,DZY,10
,79103275,WOL,11
,79103275,YCS,12
,11291612,YKP,1
,11291612,YCG,2
,11291612,GIZ,3
,11291612,OKZ,4
,11291612,LEG,5
,11291612,ISK,6
,11291612,SZT,7
,11291612,YCS,8
,11291612,DZY,9
,11291612,POG,10
,11291612,WOL,11
,11291612,77R,12
,48680673,YKP,1
,48680673,GIZ,2
,48680673,YCG,3
,48680673,SZT,4
,48680673,POG,5
,48680673,OKZ,6
,48680673,ISK,7
,48680673,WOL,8
,48680673,LEG,9
,48680673,YCS,10
,48680673,DZY,11
,48680673,77R,12
,78707344,YCG,1
,78707344,GIZ,2
,78707344,YKP,3
,78707344,POG,4
,78707344,SZT,5
,78707344,WOL,6
,78707344,77R,7
,78707344,LEG,8
,78707344,ISK,9
,78707344,OKZ,10
,78707344,YCS,11
,78707344,DZY,12
,7819477,YCG,1
,7819477,YKP,2
,7819477,OKZ,3
,7819477,POG,4
,7819477,PGR,5
,7819477,GIZ,6
,7819477,SZT,7
,7819477,ISK,8
,7819477,LEG,9
,7819477,YCS,10
,7819477,PJK,11
,7819477,GAR,12
,7819477,ODY,13
,7819477,JMZ,14
,7819477,WOL,15
,7819477,SPO,16
,7819477,DZY,17
,7819477,JSG,18
,34461511,OKZ,1
,34461511,YCG,2
,34461511,LEG,3
,34461511,YKP,4
,34461511,ISK,5
,34461511,JMZ,6
,34461511,GIZ,7
,34461511,POG,8
,34461511,PGR,9
,34461511,YCS,10
,34461511,SPO,11
,34461511,SZT,12
,34461511,DZY,13
,34461511,ODY,14
,34461511,PJK,15
,34461511,WOL,16
,34461511,JSG,17
,34461511,GAR,18
,53378923,YKP,1
,53378923,YCG,2
,53378923,LEG,3
,53378923,POG,4
,53378923,OKZ,5
,53378923,SZT,6
,53378923,ISK,7
,53378923,PGR,8
,53378923,GAR,9
,53378923,YCS,10
,53378923,ODY,11
,53378923,SPO,12
,53378923,DZY,13
,53378923,JSG,14
,53378923,JMZ,15
,53378923,WOL,16
,53378923,PJK,17
,53378923,GIZ,18
,16116614,YKP,1
,16116614,LEG,2
,16116614,GAR,3
,16116614,YCG,4
,16116614,SZT,5
,16116614,SPO,6
