ID_wystepowania,ID_Zawodnika,ID_Regat,ID_wariantu_klubu,WynikWRegatach,Trening
,11120520,20201142,93352367,7,
,79147169,20201142,77605514,8,
,95999433,68966834,20193720,2,
,22785032,68966834,79941094,6,
,95999433,79772225,20193720,5,
,22785032,79772225,79941094,11,
,11120520,79772225,93352367,4,
,79147169,79772225,77605514,10,
,95999433,96613811,20193720,2,
,22785032,96613811,79941094,11,
,11120520,96613811,93352367,6,
,15603428,7819477,84529515,,
,71589137,7819477,75229146,,
,13647562,7819477,75229146,,
,69935946,7819477,49016370,,
,67917096,7819477,22870948,,
,21665175,7819477,89450984,,
,24449860,7819477,96948674,,
,75356731,7819477,6377109,,
,65824952,7819477,37025542,,
,24283626,7819477,37025542,,
,873413,7819477,37025542,,
,56799050,7819477,62941916,,
,15603428,16116614,84529515,7,
,79147169,16116614,77605514,,
,71589137,16116614,75229146,2,
,13647562,16116614,75229146,2,
,69935946,16116614,49016370,11,
,67917096,16116614,22870948,8,
,21665175,16116614,89450984,,
,24449860,16116614,96948674,6,
,75356731,16116614,6377109,,
,65824952,16116614,37025542,18,
,24283626,16116614,37025542,18,
,873413,16116614,37025542,18,
,56799050,16116614,62941916,1,
,15603428,34461511,84529515,7,
,71589137,34461511,75229146,3,
,13647562,34461511,75229146,3,
,69935946,34461511,49016370,1,
,67917096,34461511,22870948,9,
,21665175,34461511,89450984,,
,24449860,34461511,96948674,11,
,75356731,34461511,6377109,,
,65824952,34461511,37025542,10,
,24283626,34461511,37025542,10,
,873413,34461511,37025542,10,
,56799050,34461511,62941916,4,
,15603428,53378923,84529515,18,
,79147169,53378923,77605514,,
,71589137,53378923,75229146,3,
,13647562,53378923,75229146,3,
,69935946,53378923,49016370,5,
,67917096,53378923,22870948,8,
,21665175,53378923,89450984,,
,24449860,53378923,96948674,12,
,75356731,53378923,6377109,,
,65824952,53378923,37025542,10,
,24283626,53378923,37025542,10,
,873413,53378923,37025542,10,
,56799050,53378923,62941916,1,
,22785032,31071604,79941094,8,
,79147169,31071604,77605514,10,
,65824952,31071604,27044513,7,
,21665175,31071604,89450984,3,
,67917096,31071604,89450984,3,
,73728079,31071604,24653760,1,
,30063637,51626046,79941094,18,
,79147169,51626046,77605514,6,
,9574951,51626046,98503007,12,
,65824952,51626046,27044513,3,
,21665175,51626046,89450984,2,
,67917096,51626046,89450984,2,
,22785032,59609769,79941094,16,
,79147169,59609769,77605514,2,
,9574951,59609769,98503007,6,
,65824952,59609769,27044513,5,
,21665175,59609769,89450984,1,
,67917096,59609769,89450984,1,
,79147169,72870325,77605514,10,
,9574951,72870325,98503007,3,
,65824952,72870325,27044513,6,
,21665175,72870325,89450984,2,
,67917096,72870325,89450984,2,
,73728079,72870325,24653760,5,
,95999433,4685116,20193720,,
,56799050,4685116,70916580,,
,96789971,4685116,80297127,,
,15603428,4685116,37537849,,
,52138719,4685116,37537849,,
,71589137,4685116,75229146,,
,13647562,4685116,75229146,,
,69935946,4685116,54029406,,
,45466641,4685116,22870948,,
,62687687,4685116,22870948,,
,87762857,4685116,22870948,,
,24449860,4685116,96948674,,
,75356731,4685116,6377109,,
,11120520,4685116,2427462,,
,24283626,4685116,37025542,,
,873413,4685116,37025542,,
,95999433,9923664,20193720,,
,56799050,9923664,70916580,,
,96789971,9923664,80297127,,
,15603428,9923664,37537849,,
,52138719,9923664,37537849,,
,71589137,9923664,75229146,,
,13647562,9923664,75229146,,
,69935946,9923664,54029406,,
,45466641,9923664,22870948,,
,62687687,9923664,22870948,,
,87762857,9923664,22870948,,
,24449860,9923664,96948674,,
,75356731,9923664,6377109,,
,11120520,9923664,2427462,,
,24283626,9923664,37025542,,
,873413,9923664,37025542,,
,73728079,9923664,24653760,,
,95999433,15498062,20193720,1,
,56799050,15498062,70916580,4,
,96789971,15498062,80297127,,
,15603428,15498062,37537849,5,
,71589137,15498062,75229146,8,
,13647562,15498062,75229146,8,
,69935946,15498062,54029406,,
,75356731,15498062,6377109,16,
,11120520,15498062,2427462,17,
,24283626,15498062,37025542,18,
,873413,15498062,37025542,18,
,95999433,21078561,20193720,4,
,56799050,21078561,70916580,1,
,96789971,21078561,80297127,,
,15603428,21078561,37537849,16,
,52138719,21078561,37537849,16,
,71589137,21078561,75229146,3,
,13647562,21078561,75229146,3,
,69935946,21078561,54029406,,
,45466641,21078561,22870948,17,
,59502195,21078561,22870948,17,
,24449860,21078561,96948674,14,
,75356731,21078561,6377109,13,
,11120520,21078561,2427462,2,
,24283626,21078561,37025542,12,
,873413,21078561,37025542,12,
,79147169,10285883,77605514,4,
,22785032,10285883,51767348,6,
,24449860,10285883,96948674,3,
,28374567,10285883,60467964,2,
,75356731,10285883,6377109,13,
,79147169,23242296,77605514,10,
,22785032,23242296,51767348,14,
,24449860,23242296,96948674,7,
,28374567,23242296,60467964,2,
,56240541,23242296,60467964,2,
,75356731,23242296,6377109,12,
,64982746,50632845,66190843,8,
,79147169,50632845,77605514,5,
,22785032,50632845,51767348,13,
,24449860,50632845,96948674,1,
,28374567,50632845,60467964,4,
,56240541,50632845,60467964,4,
,75356731,50632845,6377109,2,
,79147169,60773118,77605514,5,
,22785032,60773118,51767348,17,
,24449860,60773118,96948674,2,
,28374567,60773118,60467964,1,
,56240541,60773118,60467964,1,
,9574951,39731721,68665036,4,
,9574951,44960821,68665036,1,
,9574951,75270731,68665036,4,
,95999433,8491828,20193720,,
,71589137,8491828,75229146,,
,13647562,8491828,75229146,,
,15603428,8491828,88548085,,
,52138719,8491828,88548085,,
,69935946,8491828,88548085,,
,59502195,8491828,22870948,,
,65824952,8491828,27044513,,
,21665175,8491828,89450984,,
,45466641,8491828,89450984,,
,67917096,8491828,89450984,,
,11120520,8491828,2427462,,
,43188873,8491828,2427462,,
,24283626,8491828,37025542,,
,873413,8491828,37025542,,
,73728079,8491828,24653760,,
,56799050,8491828,62941916,,
,95999433,46597156,20193720,16,
,71589137,46597156,75229146,8,
,13647562,46597156,75229146,8,
,15603428,46597156,88548085,10,
,52138719,46597156,88548085,10,
,69935946,46597156,88548085,10,
,9574951,46597156,68665036,,
,59502195,46597156,22870948,15,
,62687687,46597156,22870948,15,
,87762857,46597156,22870948,15,
,65824952,46597156,27044513,17,
,21665175,46597156,89450984,12,
,45466641,46597156,89450984,12,
,67917096,46597156,89450984,12,
,56240541,46597156,60467964,,
,11120520,46597156,2427462,2,
,43188873,46597156,2427462,2,
,24283626,46597156,37025542,4,
,873413,46597156,37025542,4,
,73728079,46597156,24653760,1,
,56799050,46597156,62941916,3,
,95999433,72722761,20193720,9,
,71589137,72722761,75229146,5,
,13647562,72722761,75229146,5,
,15603428,72722761,88548085,8,
,52138719,72722761,88548085,8,
,69935946,72722761,88548085,8,
,59502195,72722761,22870948,12,
,62687687,72722761,22870948,12,
,87762857,72722761,22870948,12,
,65824952,72722761,27044513,14,
,21665175,72722761,89450984,17,
,45466641,72722761,89450984,17,
,67917096,72722761,89450984,17,
,11120520,72722761,2427462,3,
,43188873,72722761,2427462,3,
,24283626,72722761,37025542,10,
,873413,72722761,37025542,10,
,73728079,72722761,24653760,18,
,56799050,72722761,62941916,2,
,95999433,97148389,20193720,13,
,71589137,97148389,75229146,7,
,13647562,97148389,75229146,7,
,15603428,97148389,88548085,5,
,52138719,97148389,88548085,5,
,69935946,97148389,88548085,5,
,59502195,97148389,22870948,14,
,6236001,97148389,22870948,14,
,62687687,97148389,22870948,14,
,87762857,97148389,22870948,14,
,65824952,97148389,27044513,16,
,21665175,97148389,89450984,9,
,45466641,97148389,89450984,9,
,67917096,97148389,89450984,9,
,11120520,97148389,2427462,4,
,43188873,97148389,2427462,4,
,24283626,97148389,37025542,6,
,873413,97148389,37025542,6,
,73728079,97148389,24653760,11,
,56799050,97148389,62941916,10,
