M-sce,Skrót,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,Σ
1, YCS,Yacht Club Sopot,,1,1,2,,1,2,,3,,1,1,3,,3,1,,1,,2,6,6,,6,40
2, OKZ,Olsztynski Klub Zeglarski,1,2,,,1,6,1,1,,2,2,,,1,4,4,3,,4,3,,,2,3,40
3, MOS,MOS Ilawa,7 (OCS),3,,3,,2,4,3,,1,2,,1,,1,3,5,,3,1,,1,,1,41
4, JKKP,Jacht Klub Kamien Pomorski,2,,4,5,,3,,2,1,5,,2,4,,2,,1,2,1,,3,5,,4,46
5, TZR,PMT TZR Szczecin,3,,3,,3,4,,4,2,4,,6,,4,5,,6,3,6,,1,,1,2,57
6, LEGIA,Legia Warszawa,,5,2,4,4,,3,,4,,5,5,5,3,,6,,5,,4,2,2,5,,64
7, YCS AWF,YC Sztag AWF Katowice,4,4,,1,5,,5,6,,3,4,,6,5,,2,4,,2,6,,3,6,,66
8, JKM,JKM Gryf Gdynia,5,,5,7 (OCS),2,,,5,6,6,,4,2,2,,,2,4,5,,5,4,3,,67
9, DZYGIT,PZKS DZYGIT,,6,6,,6,5,6,,5,,3,3,,6,6,5,,6,,5,4,,4,5,81
