ID_wynikRegat,regaty,ID_wariantu_klubu,miejsceWRegatach
,14732889,02427462,1
,14732889,88548085,2
,14732889,62941916,3
,14732889,24653760,4
,14732889,16719099,5
,14732889,96948674,6
,14732889,99914577,7
,14732889,93352367,8
,14732889,68665036,9
,14732889,54029406,10
,14732889,37025542,11
,14732889,20193720,12
,14732889,94762767,13
,14732889,75229146,14
,14732889,32084212,15
,14732889,89450984,16
,14732889,87312442,17
,14732889,43499430,18
