ID_wynikRegat,regaty,ID_wariantu_klubu,miejsceWRegatach
,87373489,66934318,1
,87373489,16709889,2
,87373489,22870948,3
,87373489,85311650,4
,87373489,66190843,5
,87373489,23168504,6
,87373489,30762817,7
,87373489,35905966,8
,87373489,24214318,9
,87373489,53003010,10
,87373489,95180475,11
,87373489,49016370,12
,87373489,60467964,13
,87373489,77605514,14
,87373489,06377109,15
,87373489,91023766,16
,87373489,47712969,17
,87373489,35560429,18
