ID_miejsca,ID_wyscigu,ID_wariantu_klubu,Zajete_miejsce,Kary,Numer_lodki
,12301209,82519192,1.0,0,0
,15595527,82519192,7.0,0,0
,74843941,82519192,2.0,0,0
,78337783,82519192,3.0,0,0
,72295409,82519192,9.0,0,0
,00780039,82519192,2.0,0,0
,55787757,82519192,2.0,0,0
,36397491,82519192,1.0,0,0
,23374676,82519192,2.0,0,0
,95611635,82519192,9.0,0,0
,70070488,82519192,2.0,0,0
,66605556,82519192,1.0,0,0
,77576138,82519192,1.0,0,0
,75037955,82519192,2.0,0,0
,88188219,82519192,9.0,0,0
,68727663,82519192,5.0,0,0
,76502756,82519192,4.0,0,0
,59325469,82519192,4.0,0,0
,65899034,82519192,2.0,0,0
,89359464,82519192,9.0,0,0
,12301209,00576156,3.0,0,0
,15595527,00576156,1.0,0,0
,74843941,00576156,1.0,0,0
,78337783,00576156,9.0,0,0
,72295409,00576156,3.0,0,0
,00780039,00576156,1.0,0,0
,55787757,00576156,4.0,0,0
,36397491,00576156,2.0,0,0
,23374676,00576156,9.0,0,0
,95611635,00576156,4.0,0,0
,70070488,00576156,1.0,0,0
,66605556,00576156,7.0,0,0
,77576138,00576156,4.0,0,0
,75037955,00576156,9.0,0,0
,88188219,00576156,2.0,0,0
,68727663,00576156,2.0,0,0
,76502756,00576156,3.0,0,0
,59325469,00576156,1.0,0,0
,65899034,00576156,9.0,0,0
,89359464,00576156,5.0,0,0
,12301209,14091040,9.0,0,0
,15595527,14091040,2.0,0,0
,74843941,14091040,3.0,0,0
,78337783,14091040,1.0,0,0
,72295409,14091040,1.0,0,0
,00780039,14091040,9.0,0,0
,55787757,14091040,3.0,0,0
,36397491,14091040,5.0,0,0
,23374676,14091040,1.0,0,0
,95611635,14091040,3.0,0,0
,70070488,14091040,9.0,0,0
,66605556,14091040,4.0,0,0
,77576138,14091040,3.0,0,0
,75037955,14091040,4.0,0,0
,88188219,14091040,5.0,0,0
,68727663,14091040,9.0,0,0
,76502756,14091040,2.0,0,0
,59325469,14091040,9.0,1,0
,65899034,14091040,5.0,0,0
,89359464,14091040,1.0,0,0
,12301209,14947601,9.0,0,0
,15595527,14947601,3.0,0,0
,74843941,14947601,4.0,0,0
,78337783,14947601,8.0,0,0
,72295409,14947601,2.0,0,0
,00780039,14947601,9.0,0,0
,55787757,14947601,5.0,0,0
,36397491,14947601,3.0,0,0
,23374676,14947601,4.0,0,0
,95611635,14947601,2.0,0,0
,70070488,14947601,9.0,0,0
,66605556,14947601,2.0,0,0
,77576138,14947601,2.0,0,0
,75037955,14947601,1.0,0,0
,88188219,14947601,4.0,0,0
,68727663,14947601,9.0,0,0
,76502756,14947601,8.0,0,0
,59325469,14947601,2.0,0,0
,65899034,14947601,1.0,0,0
,89359464,14947601,2.0,0,0
,12301209,77440855,4.0,0,0
,15595527,77440855,4.0,0,0
,74843941,77440855,9.0,0,0
,78337783,77440855,2.0,0,0
,72295409,77440855,4.0,0,0
,00780039,77440855,3.0,0,0
,55787757,77440855,1.0,0,0
,36397491,77440855,9.0,0,0
,23374676,77440855,5.0,0,0
,95611635,77440855,1.0,0,0
,70070488,77440855,9.0,1,0
,66605556,77440855,3.0,0,0
