ID_wynikRegat,regaty,ID_wariantu_klubu,miejsceWRegatach
,72158401,88548085,1
,72158401,37025542,2
,72158401,89450984,3
,72158401,62941916,4
,72158401,68665036,5
,72158401,43499430,6
,72158401,99914577,7
,72158401,24653760,8
,72158401,02427462,9
,72158401,96948674,10
,72158401,16719099,11
,72158401,20193720,12
,72158401,93352367,13
,72158401,87312442,14
,72158401,75229146,15
,72158401,54029406,16
,72158401,32084212,17
,72158401,94762767,18
