ID_miejsca,ID_wyscigu,ID_wariantu_klubu,Zajete_miejsce,Kary,Numer_lodki
,50630381,60467964,2.0,0,0
,67900623,60467964,3.0,0,0
,15348702,60467964,1.0,0,0
,58570167,60467964,6.0,0,0
,35133569,60467964,8.0,0,0
,02218114,60467964,2.0,0,0
,66340676,60467964,2.0,0,0
,85436998,60467964,1.0,0,0
,67388143,60467964,1.0,0,0
,34985354,60467964,5.0,0,0
,29352261,60467964,3.0,0,0
,50630381,30762817,4.0,0,0
,67900623,30762817,3.0,0,0
,15348702,30762817,1.0,0,0
,58570167,30762817,1.0,0,0
,35133569,30762817,1.0,0,0
,02218114,30762817,2.0,0,0
,66340676,30762817,7.0,0,0
,85436998,30762817,2.0,0,0
,67388143,30762817,8.0,0,0
,34985354,30762817,6.0,0,0
,29352261,30762817,2.0,0,0
,50630381,66190843,3.0,0,0
,67900623,66190843,1.0,0,0
,15348702,66190843,4.0,0,0
,58570167,66190843,4.0,0,0
,35133569,66190843,9.0,0,0
,02218114,66190843,4.0,0,0
,66340676,66190843,1.0,0,0
,85436998,66190843,1.0,0,0
,67388143,66190843,2.0,0,0
,34985354,66190843,7.0,0,0
,29352261,66190843,2.0,0,0
,50630381,35905966,1.0,0,0
,67900623,35905966,8.0,0,0
,15348702,35905966,2.0,0,0
,58570167,35905966,3.0,0,0
,35133569,35905966,6.0,0,0
,02218114,35905966,1.0,0,0
,66340676,35905966,3.0,0,0
,85436998,35905966,5.0,0,0
,67388143,35905966,4.0,0,0
,34985354,35905966,3.0,0,0
,29352261,35905966,4.0,0,0
,50630381,22870948,1.0,0,0
,67900623,22870948,0.0,0,0
,15348702,22870948,4.0,0,0
,58570167,22870948,2.0,0,0
,35133569,22870948,6.0,0,0
,02218114,22870948,6.0,0,0
,66340676,22870948,2.0,0,0
,85436998,22870948,2.0,0,0
,67388143,22870948,5.0,0,0
,34985354,22870948,2.0,0,0
,29352261,22870948,1.0,0,0
,50630381,16709889,3.0,0,0
,67900623,16709889,7.0,0,0
,15348702,16709889,8.0,0,0
,58570167,16709889,2.0,0,0
,35133569,16709889,3.0,0,0
,02218114,16709889,3.0,0,0
,66340676,16709889,1.0,0,0
,85436998,16709889,4.0,0,0
,67388143,16709889,3.0,0,0
,34985354,16709889,3.0,0,0
,29352261,16709889,6.0,0,0
,50630381,49016370,7.0,0,0
,67900623,49016370,1.0,0,0
,15348702,49016370,5.0,0,0
,58570167,49016370,3.0,0,0
,35133569,49016370,0.0,0,0
,02218114,49016370,1.0,0,0
,66340676,49016370,3.0,0,0
,85436998,49016370,3.0,0,0
,67388143,49016370,1.0,0,0
,34985354,49016370,9.0,0,0
,29352261,49016370,4.0,0,0
,50630381,23168504,8.0,0,0
,67900623,23168504,4.0,0,0
,15348702,23168504,3.0,0,0
,58570167,23168504,1.0,0,0
,35133569,23168504,7.0,0,0
,02218114,23168504,4.0,0,0
,66340676,23168504,4.0,0,0
,85436998,23168504,6.0,0,0
,67388143,23168504,2.0,0,0
,34985354,23168504,6.0,0,0
,29352261,23168504,7.0,0,0
,50630381,24214318,5.0,0,0
,67900623,24214318,5.0,0,0
,15348702,24214318,3.0,0,0
,58570167,24214318,5.0,0,0
,35133569,24214318,3.0,0,0
,02218114,24214318,7.0,0,0
,66340676,24214318,7.0,0,0
,85436998,24214318,4.0,0,0
,67388143,24214318,7.0,0,0
,34985354,24214318,4.0,0,0
,29352261,24214318,3.0,0,0
,50630381,77605514,5.0,0,0
,67900623,77605514,7.0,0,0
,15348702,77605514,2.0,0,0
,58570167,77605514,4.0,0,0
,35133569,77605514,5.0,0,0
,02218114,77605514,7.0,0,0
,66340676,77605514,5.0,0,0
,85436998,77605514,7.0,0,0
,67388143,77605514,0.0,0,0
,34985354,77605514,1.0,0,0
,29352261,77605514,1.0,0,0
,50630381,85311650,6.0,0,0
,67900623,85311650,4.0,0,0
,15348702,85311650,6.0,0,0
,58570167,85311650,6.0,0,0
,35133569,85311650,1.0,0,0
,02218114,85311650,5.0,0,0
,66340676,85311650,6.0,0,0
,85436998,85311650,3.0,0,0
,67388143,85311650,7.0,0,0
,34985354,85311650,4.0,0,0
,29352261,85311650,6.0,0,0
,50630381,66934318,2.0,0,0
,67900623,66934318,2.0,0,0
,15348702,66934318,5.0,0,0
,58570167,66934318,8.0,0,0
,35133569,66934318,2.0,0,0
,02218114,66934318,8.0,0,0
,66340676,66934318,8.0,0,0
,85436998,66934318,6.0,0,0
,67388143,66934318,3.0,0,0
,34985354,66934318,2.0,0,0
,29352261,66934318,8.0,0,0
,50630381,06377109,7.0,0,0
,67900623,06377109,6.0,0,0
,15348702,06377109,9.0,0,0
,58570167,06377109,8.0,0,0
,35133569,06377109,4.0,0,0
,02218114,06377109,6.0,0,0
,66340676,06377109,4.0,0,0
,85436998,06377109,5.0,0,0
,67388143,06377109,4.0,0,0
,34985354,06377109,1.0,0,0
,29352261,06377109,5.0,0,0
,50630381,53003010,9.0,0,0
,67900623,53003010,2.0,0,0
,15348702,53003010,6.0,0,0
,58570167,53003010,5.0,0,0
,35133569,53003010,2.0,0,0
,02218114,53003010,3.0,0,0
,66340676,53003010,6.0,0,0
,85436998,53003010,7.0,0,0
,67388143,53003010,6.0,0,0
,34985354,53003010,8.0,0,0
,29352261,53003010,8.0,0,0
,50630381,91023766,8.0,0,0
,67900623,91023766,9.0,0,0
,15348702,91023766,7.0,0,0
,58570167,91023766,9.0,0,0
,35133569,91023766,4.0,0,0
,02218114,91023766,9.0,0,0
,66340676,91023766,9.0,0,0
,85436998,91023766,8.0,0,0
,67388143,91023766,5.0,0,0
,34985354,91023766,5.0,0,0
,29352261,91023766,5.0,0,0
,50630381,47712969,4.0,0,0
,67900623,47712969,8.0,0,0
,15348702,47712969,7.0,0,0
,58570167,47712969,9.0,0,0
,35133569,47712969,5.0,0,0
,02218114,47712969,5.0,0,0
,66340676,47712969,9.0,0,0
,85436998,47712969,8.0,0,0
,67388143,47712969,8.0,0,0
,34985354,47712969,0.0,0,0
,29352261,47712969,7.0,0,0
,50630381,35560429,9.0,0,0
,67900623,35560429,6.0,0,0
