ID_wyscigu,ID_Regat,Numer_wyscigu,Finalowy
03416422,59734039,1,False
76267507,59734039,2,False
15481950,59734039,3,False
95423081,59734039,4,False
16251074,59734039,5,False
53653775,59734039,6,False
34043045,59734039,7,False
29000932,59734039,8,False
16860843,59734039,9,False
60243057,59734039,10,False
18596175,59734039,11,False
04727891,59734039,12,False
94152089,59734039,13,False
56453907,59734039,14,False
31480866,59734039,15,False
36676783,59734039,16,False
96620439,59734039,17,False
67275700,59734039,18,False
