ID_miejsca,ID_wyscigu,ID_wariantu_klubu,Zajete_miejsce,Kary,Numer_lodki
,47061427,87312442,2.0,0,0
,68179036,87312442,6.0,0,0
,69746706,87312442,2.0,0,0
,99153629,87312442,1.0,0,0
,12208248,87312442,3.0,0,0
,32454426,87312442,4.0,0,0
,04805377,87312442,1.0,0,0
,91951930,87312442,6.0,0,0
,39200759,87312442,1.0,0,0
,44969305,87312442,4.0,0,0
,01903620,87312442,2.0,0,0
,82739982,87312442,4.0,0,0
,92109710,87312442,6.0,0,0
,69460679,87312442,2.0,0,0
,81329685,87312442,1.0,0,0
,47061427,49016370,1.0,0,0
,68179036,49016370,3.0,0,0
,69746706,49016370,4.0,0,0
,99153629,49016370,1.0,0,0
,12208248,49016370,1.0,0,0
,32454426,49016370,7.0,0,0
,04805377,49016370,6.0,0,0
,91951930,49016370,2.0,0,0
,39200759,49016370,6.0,0,0
,44969305,49016370,7.0,0,0
,01903620,49016370,3.0,0,0
,82739982,49016370,3.0,0,0
,92109710,49016370,2.0,0,0
,69460679,49016370,3.0,0,0
,81329685,49016370,8.0,0,0
,47061427,95180475,7.0,0,0
,68179036,95180475,2.0,0,0
,69746706,95180475,1.0,0,0
,99153629,95180475,2.0,0,0
,12208248,95180475,4.0,0,0
,32454426,95180475,2.0,0,0
,04805377,95180475,4.0,0,0
,91951930,95180475,4.0,0,0
,39200759,95180475,3.0,0,0
,44969305,95180475,4.0,0,0
,01903620,95180475,9.0,0,0
,82739982,95180475,3.0,0,0
,92109710,95180475,6.0,0,0
,69460679,95180475,5.0,0,0
,81329685,95180475,3.0,0,0
,47061427,54029406,4.0,0,0
,68179036,54029406,9.0,0,0
,69746706,54029406,2.0,0,0
,99153629,54029406,2.0,0,0
,12208248,54029406,2.0,0,0
,32454426,54029406,5.0,0,0
,04805377,54029406,3.0,0,0
,91951930,54029406,3.0,0,0
,39200759,54029406,2.0,0,0
,44969305,54029406,3.0,0,0
,01903620,54029406,13.0,1,0
,82739982,54029406,9.0,0,0
,92109710,54029406,1.0,0,0
,69460679,54029406,1.0,0,0
,81329685,54029406,4.0,0,0
,47061427,68665036,5.0,0,0
,68179036,68665036,1.0,0,0
,69746706,68665036,3.0,0,0
,99153629,68665036,9.0,0,0
,12208248,68665036,9.0,0,0
,32454426,68665036,4.0,0,0
,04805377,68665036,5.0,0,0
,91951930,68665036,2.0,0,0
,39200759,68665036,1.0,0,0
,44969305,68665036,5.0,0,0
,01903620,68665036,5.0,0,0
,82739982,68665036,1.5,0,0
,92109710,68665036,1.0,0,0
,69460679,68665036,4.0,0,0
,81329685,68665036,6.0,0,0
,47061427,43499430,6.0,0,0
,68179036,43499430,2.0,0,0
,69746706,43499430,6.0,0,0
,99153629,43499430,3.0,0,0
,12208248,43499430,6.0,0,0
,32454426,43499430,5.0,0,0
,04805377,43499430,6.0,0,0
,91951930,43499430,7.0,0,0
,39200759,43499430,4.0,0,0
,44969305,43499430,5.0,0,0
,01903620,43499430,2.0,0,0
,82739982,43499430,1.0,0,0
,92109710,43499430,4.0,0,0
,69460679,43499430,6.0,0,0
,81329685,43499430,2.0,0,0
,47061427,62256617,7.0,0,0
,68179036,62256617,4.0,0,0
,69746706,62256617,13.0,1,0
,99153629,62256617,4.0,0,0
,12208248,62256617,2.0,0,0
,32454426,62256617,1.0,0,0
,04805377,62256617,2.0,0,0
,91951930,62256617,5.0,0,0
,39200759,62256617,6.0,0,0
,44969305,62256617,6.0,0,0
,01903620,62256617,1.0,0,0
,82739982,62256617,9.0,0,0
,92109710,62256617,3.0,0,0
,69460679,62256617,1.0,0,0
,81329685,62256617,5.0,0,0
,47061427,06377109,1.0,0,0
,68179036,06377109,5.0,0,0
,69746706,06377109,1.0,0,0
,99153629,06377109,8.0,0,0
,12208248,06377109,9.0,0,0
,32454426,06377109,1.0,0,0
,04805377,06377109,7.0,0,0
,91951930,06377109,4.0,0,0
,39200759,06377109,7.0,0,0
,44969305,06377109,8.0,0,0
,01903620,06377109,5.0,0,0
,82739982,06377109,2.0,0,0
,92109710,06377109,5.0,0,0
,69460679,06377109,2.0,0,0
,81329685,06377109,7.0,0,0
,47061427,85311650,9.0,0,0
,68179036,85311650,3.0,0,0
,69746706,85311650,6.0,0,0
,99153629,85311650,8.0,0,0
,12208248,85311650,1.0,0,0
,32454426,85311650,6.0,0,0
,04805377,85311650,2.0,0,0
,91951930,85311650,1.0,0,0
,39200759,85311650,4.0,0,0
,44969305,85311650,3.0,0,0
,01903620,85311650,4.0,0,0
,82739982,85311650,6.0,0,0
,92109710,85311650,8.0,0,0
,69460679,85311650,4.0,0,0
,81329685,85311650,9.0,0,0
,47061427,66190843,3.0,0,0
,68179036,66190843,6.0,0,0
,69746706,66190843,7.0,0,0
,99153629,66190843,3.0,0,0
,12208248,66190843,7.0,0,0
,32454426,66190843,9.0,0,0
,04805377,66190843,5.0,0,0
,91951930,66190843,7.0,0,0
,39200759,66190843,5.0,0,0
,44969305,66190843,6.0,0,0
,01903620,66190843,1.0,0,0
,82739982,66190843,5.0,0,0
,92109710,66190843,2.0,0,0
,69460679,66190843,3.0,0,0
,81329685,66190843,1.0,0,0
,47061427,47712969,8.0,0,0
,68179036,47712969,1.0,0,0
,69746706,47712969,4.0,0,0
,99153629,47712969,7.0,0,0
,12208248,47712969,4.0,0,0
,32454426,47712969,3.0,0,0
,04805377,47712969,3.0,0,0
,91951930,47712969,1.0,0,0
,39200759,47712969,8.0,0,0
,44969305,47712969,1.0,0,0
,01903620,47712969,7.0,0,0
,82739982,47712969,6.0,0,0
,92109710,47712969,9.0,0,0
,69460679,47712969,7.0,0,0
,81329685,47712969,13.0,1,0
,47061427,22379911,5.0,0,0
,68179036,22379911,8.0,0,0
,69746706,22379911,5.0,0,0
,99153629,22379911,6.0,0,0
,12208248,22379911,6.0,0,0
,32454426,22379911,9.0,0,0
,04805377,22379911,4.0,0,0
,91951930,22379911,8.0,0,0
,39200759,22379911,8.0,0,0
,44969305,22379911,2.0,0,0
,01903620,22379911,3.0,0,0
,82739982,22379911,1.5,0,0
,92109710,22379911,9.0,0,0
,69460679,22379911,8.0,0,0
,81329685,22379911,2.0,0,0
,47061427,60722477,8.0,0,0
,68179036,60722477,8.0,0,0
,69746706,60722477,5.0,0,0
,99153629,60722477,4.0,0,0
,12208248,60722477,3.0,0,0
,32454426,60722477,6.0,0,0
,04805377,60722477,8.0,0,0
,91951930,60722477,5.0,0,0
,39200759,60722477,9.0,0,0
