ID_miejsca,ID_wyscigu,ID_wariantu_klubu,Zajete_miejsce,Kary,Numer_lodki
,52916651,75141924,3.0,0,0
,86742280,75141924,1.0,0,0
,48319212,75141924,2.0,0,0
,87099212,75141924,4.0,0,0
,74705364,75141924,5.0,0,0
,58745698,75141924,2.0,0,0
,50876251,75141924,1.0,0,0
,37622054,75141924,5.0,0,0
,06255790,75141924,1.0,0,0
,52916651,97015711,1.0,0,0
,86742280,97015711,3.0,0,0
,48319212,97015711,4.0,0,0
,87099212,97015711,1.0,0,0
,74705364,97015711,1.0,0,0
,58745698,97015711,3.0,0,0
,50876251,97015711,4.0,0,0
,37622054,97015711,7.0,0,0
,06255790,97015711,2.0,0,0
,52916651,26725552,2.0,0,0
,86742280,26725552,5.0,0,0
,48319212,26725552,3.0,0,0
,87099212,26725552,1.0,0,0
,74705364,26725552,4.0,0,0
,58745698,26725552,6.0,0,0
,50876251,26725552,2.0,0,0
,37622054,26725552,1.0,0,0
,06255790,26725552,4.0,0,0
,52916651,95701656,9.0,0,0
,86742280,95701656,2.0,0,0
,48319212,95701656,1.0,0,0
,87099212,95701656,4.0,0,0
,74705364,95701656,1.0,0,0
,58745698,95701656,5.0,0,0
,50876251,95701656,6.0,0,0
,37622054,95701656,3.0,0,0
,06255790,95701656,1.0,0,0
,52916651,86806554,5.0,0,0
,86742280,86806554,1.0,0,0
,48319212,86806554,3.0,0,0
,87099212,86806554,7.0,0,0
,74705364,86806554,3.0,0,0
,58745698,86806554,7.0,0,0
,50876251,86806554,2.0,0,0
,37622054,86806554,2.0,0,0
,06255790,86806554,2.0,0,0
,52916651,21863651,8.0,0,0
,86742280,21863651,7.0,0,0
,48319212,21863651,1.0,0,0
,87099212,21863651,3.0,0,0
,74705364,21863651,5.0,0,0
,58745698,21863651,1.0,0,0
,50876251,21863651,1.0,0,0
,37622054,21863651,6.0,0,0
,06255790,21863651,4.0,0,0
,52916651,23474192,2.0,0,0
,86742280,23474192,8.0,0,0
,48319212,23474192,4.0,0,0
,87099212,23474192,8.0,0,0
,74705364,23474192,2.0,0,0
,58745698,23474192,5.0,0,0
,50876251,23474192,8.0,0,0
,37622054,23474192,2.0,0,0
,06255790,23474192,3.0,0,0
,52916651,57461405,6.0,0,0
,86742280,57461405,3.0,0,0
,48319212,57461405,2.0,0,0
,87099212,57461405,2.0,0,0
,74705364,57461405,6.0,0,0
,58745698,57461405,4.0,0,0
,50876251,57461405,8.0,0,0
,37622054,57461405,9.0,0,0
,06255790,57461405,3.0,0,0
,52916651,80070716,3.0,0,0
,86742280,80070716,8.0,0,0
,48319212,80070716,8.0,0,0
,87099212,80070716,6.0,0,0
,74705364,80070716,3.0,0,0
,58745698,80070716,1.0,0,0
,50876251,80070716,4.0,0,0
,37622054,80070716,4.0,0,0
,06255790,80070716,7.0,0,0
,52916651,59287240,4.0,0,0
,86742280,59287240,6.0,0,0
,48319212,59287240,5.0,0,0
,87099212,59287240,5.0,0,0
,74705364,59287240,2.0,0,0
,58745698,59287240,8.0,0,0
,50876251,59287240,3.0,0,0
,37622054,59287240,4.0,0,0
,06255790,59287240,7.0,0,0
,52916651,08699349,5.0,0,0
,86742280,08699349,2.0,0,0
,48319212,08699349,6.0,0,0
,87099212,08699349,9.0,0,0
,74705364,08699349,8.0,0,0
,58745698,08699349,2.0,0,0
,50876251,08699349,3.0,0,0
,37622054,08699349,8.0,0,0
,06255790,08699349,5.0,0,0
,52916651,01026501,7.0,0,0
,86742280,01026501,4.0,0,0
,48319212,01026501,7.0,0,0
,87099212,01026501,7.0,0,0
,74705364,01026501,9.0,0,0
,58745698,01026501,3.0,0,0
,50876251,01026501,6.0,0,0
,37622054,01026501,1.0,0,0
,06255790,01026501,5.0,0,0
,52916651,28130866,1.0,0,0
,86742280,28130866,4.0,0,0
,48319212,28130866,7.0,0,0
,87099212,28130866,5.0,0,0
,74705364,28130866,7.0,0,0
,58745698,28130866,9.0,0,0
,50876251,28130866,5.0,0,0
,37622054,28130866,3.0,0,0
,06255790,28130866,9.0,0,0
,52916651,15248730,4.0,0,0
,86742280,15248730,5.0,0,0
,48319212,15248730,6.0,0,0
,87099212,15248730,6.0,0,0
,74705364,15248730,6.0,0,0
,58745698,15248730,6.0,0,0
,50876251,15248730,9.0,0,0
,37622054,15248730,6.0,0,0
,06255790,15248730,6.0,0,0
,52916651,23372296,7.0,0,0
,86742280,23372296,9.0,0,0
,48319212,23372296,5.0,0,0
,87099212,23372296,2.0,0,0
,74705364,23372296,8.0,0,0
,58745698,23372296,4.0,0,0
,50876251,23372296,7.0,0,0
,37622054,23372296,8.0,0,0
,06255790,23372296,6.0,0,0
,52916651,48068506,8.0,0,0
,86742280,48068506,6.0,0,0
,48319212,48068506,8.0,0,0
,87099212,48068506,8.0,0,0
,74705364,48068506,4.0,0,0
,58745698,48068506,7.0,0,0
,50876251,48068506,9.0,0,0
,37622054,48068506,5.0,0,0
,06255790,48068506,8.0,0,0
,52916651,40632154,6.0,0,0
,86742280,40632154,9.0,0,0
,48319212,40632154,9.0,0,0
,87099212,40632154,3.0,0,0
,74705364,40632154,9.0,0,0
,58745698,40632154,8.0,0,0
,50876251,40632154,5.0,0,0
,37622054,40632154,9.0,0,0
,06255790,40632154,9.0,0,0
,52916651,96517047,9.0,0,0
,86742280,96517047,7.0,0,0
,48319212,96517047,9.0,0,0
,87099212,96517047,9.0,0,0
,74705364,96517047,7.0,0,0
,58745698,96517047,9.0,0,0
,50876251,96517047,7.0,0,0
,37622054,96517047,7.0,0,0
,06255790,96517047,8.0,0,0
