M-sce,Skrót,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,Σ
1, YCG,Yacht Club Gdańsk,2,,1,,5,1,,1,2,1,,1,,1,4,19
2, WOL,UKS Albatros Wolin,1,1,,3,1,,3,4,,2,2,,1,2,,20
3, 77R,77racing Club,,2,2,,2,2,1,,3,,3,3,,5,3,26
4, JMZ,JK Między Żaglami,4,,3,2,,5,,3,1,4,,2,2,,1,27
5, YKP,Yacht Klub Polski Gdynia,3,3,,,4,4,5,2,,3,5,,,3,2,34
6, JSG,Jachtklub Stoczni Gdańskiej,5,4,,4,,6,4,6,,5,1,,4,,5,44
7, AWF,AZS AWF Gdańsk,6,,5,5,3,,,5,4,6,,4,6,4,,48
8, LAS,RKS Lasery Zegrze,,5,6,1,6,,6,,7 (OCS),,4,5,3,6,,49
9, POW,SKŻ Powidz,,6,4,7 (OCS),,3,2,,5,,6,7 (DNF),5,,6,51
