M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,Σ
1, WAT,AZS WAT Warszawa,1,1,1,1,6,8,1,1,2,7,1,5,1,36
2, WRO,UKS Żeglarz Wrocław,4,2,6,1,9,1,2,2,1,3,4,1,2,38
3, YSZ,YKP Szczecin,4,4,1,2,5,2,2,2,5,6,1,2,7,43
4, HRM,HRM Racing Yacht Club Gdańsk,2,1,5,5,4,3,4,4,3,3,2,4,4,44
5, AWF,AZS AWFiS Gdańsk,5,2,3,4,5,2,6,5,2,2,3,2,3,44
6, NAV,UKS Navigo,1,3,7,7,2,3,1,1,1,1,7,6,6,46
7, GSP,Garden Space Sailing Club,3,5,4,6,3,1,3,4,6,2,9,1,1,48
8, NIE,KS Marina Niesulice,6,7,2,2,1,6,3,3,7,7,3,3,4,54
9, OCC,Ocean Challenge Yacht Club Ladies Sailing Team,2,8,4,4,1,4,7,5,3,5,5,3,8,59
10, KKZ,Kościański Klub Żeglarski,7,8,2,6,3,5,4,6,4,4,6,7,3,65
11, GRP,TFE Grupa Regatowa Powidz,5,6,9,3,2,5,10 (DSQ),7,7,1,4,4,2,67
12, AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej,3,6,5,3,8,4,5,8,8,8,8,6,5,77
13, RBP,Regatta Business Poland,6,4,7,7,8,6,5,3,9,9,2,9,7,82
14, LE2,Legia Warszawa 2,8,5,9,8,7,8,6,9,4,4,6,5,6,85
15, ETI,Etisoft Sailing Team Gliwice,8,7,3,8,4,7,10 (DSQ),7,6,9,8,8,5,90
16, YS2,Yacht Club Sopot 2,9,9,6,5,6,7,8,8,5,5,5,8,9,90
17, LAS,RKS Lasery Zegrze,7,3,8,9,10 (DSQ),9,9,6,9,8,9,7,8,102
18, POW,SKŻ Powidz,9,9,8,9,7,9,7,9,8,6,7,9,9,106
