Plik,Skrót,Nazwa
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,YKP,Yacht Klub Polski Gdynia
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,YCG,Yacht Club Gdańsk
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,AWF,AZS AWF Gdańsk
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,WOL,UKS Albatros Wolin
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,JMZ,JK Między Żaglami
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,77R,77racing Club
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,JSG,Jachtklub Stoczni Gdańskiej
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,LAS,RKS Lasery Zegrze
./mnt/data/Regaty\2019\1Liga\Runda 4\2019 1 Liga - Szczecin (2).csv,POW,SKŻ Powidz
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,OKZ,Olsztyński Klub Żeglarski
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,JEZ,Jeziorak Yacht Club
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,GIŻ,Giżycka Grupa Regatowa
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,IS2,KS Iskra AMW Gdynia
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,SZT,Sztorm Grupa
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,POG,SEJK Pogoń Szczecin
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,DZY,PZKS Dżygit Białystok
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,JKM,JKM Gryf Gdynia
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,OD2,Odyssey Sailing Club
./mnt/data/Regaty\2019\Ekstraklasa\Runda 1\2019 Ekstraklasa - Sopot.csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2019\Ekstraklasa\Runda 2\2019 Ekstraklasa - Gdynia.csv,IS2,KS Iskra AMW Gdynia
./mnt/data/Regaty\2019\Ekstraklasa\Runda 2\2019 Ekstraklasa - Gdynia.csv,JEZ,Jeziorak Yacht Club
./mnt/data/Regaty\2019\Ekstraklasa\Runda 2\2019 Ekstraklasa - Gdynia.csv,GIŻ,Giżycka Grupa Regatowa
./mnt/data/Regaty\2019\Ekstraklasa\Runda 2\2019 Ekstraklasa - Gdynia.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2019\Ekstraklasa\Runda 2\2019 Ekstraklasa - Gdynia.csv,SZT,Sztorm Grupa
./mnt/data/Regaty\2019\Ekstraklasa\Runda 2\2019 Ekstraklasa - Gdynia.csv,POG,SEJK Pogoń Szczecin
./mnt/data/Regaty\2019\Ekstraklasa\Runda 2\2019 Ekstraklasa - Gdynia.csv,OKZ,Olsztyński Klub Żeglarski
./mnt/data/Regaty\2019\Ekstraklasa\Runda 2\2019 Ekstraklasa - Gdynia.csv,JKM,JKM Gryf Gdynia
./mnt/data/Regaty\2019\Ekstraklasa\Runda 2\2019 Ekstraklasa - Gdynia.csv,OD2,Odyssey Sailing Club
./mnt/data/Regaty\2019\Ekstraklasa\Runda 2\2019 Ekstraklasa - Gdynia.csv,DZY,PZKS Dżygit Białystok
./mnt/data/Regaty\2019\Ekstraklasa\Runda 2\2019 Ekstraklasa - Gdynia.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2019\Ekstraklasa\Runda 2\2019 Ekstraklasa - Gdynia.csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2019\Ekstraklasa\Runda 3\2019 Ekstraklasa - Świnoujście.csv,GIŻ,Giżycka Grupa Regatowa
./mnt/data/Regaty\2019\Ekstraklasa\Runda 3\2019 Ekstraklasa - Świnoujście.csv,JEZ,Jeziorak Yacht Club
./mnt/data/Regaty\2019\Ekstraklasa\Runda 3\2019 Ekstraklasa - Świnoujście.csv,POG,SEJK Pogoń Szczecin
./mnt/data/Regaty\2019\Ekstraklasa\Runda 3\2019 Ekstraklasa - Świnoujście.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2019\Ekstraklasa\Runda 3\2019 Ekstraklasa - Świnoujście.csv,OKZ,Olsztyński Klub Żeglarski
./mnt/data/Regaty\2019\Ekstraklasa\Runda 3\2019 Ekstraklasa - Świnoujście.csv,DZY,PZKS Dżygit Białystok
./mnt/data/Regaty\2019\Ekstraklasa\Runda 3\2019 Ekstraklasa - Świnoujście.csv,SZT,Sztorm Grupa
./mnt/data/Regaty\2019\Ekstraklasa\Runda 3\2019 Ekstraklasa - Świnoujście.csv,IS2,KS Iskra AMW Gdynia
./mnt/data/Regaty\2019\Ekstraklasa\Runda 3\2019 Ekstraklasa - Świnoujście.csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2019\Ekstraklasa\Runda 3\2019 Ekstraklasa - Świnoujście.csv,JKM,JKM Gryf Gdynia
./mnt/data/Regaty\2019\Ekstraklasa\Runda 3\2019 Ekstraklasa - Świnoujście.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2019\Ekstraklasa\Runda 3\2019 Ekstraklasa - Świnoujście.csv,OD2,Odyssey Sailing Club
./mnt/data/Regaty\2019\Ekstraklasa\Runda 4\2019 Ekstraklasa - Szczecin.csv,GIŻ,Giżycka Grupa Regatowa
./mnt/data/Regaty\2019\Ekstraklasa\Runda 4\2019 Ekstraklasa - Szczecin.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2019\Ekstraklasa\Runda 4\2019 Ekstraklasa - Szczecin.csv,SZT,Sztorm Grupa
./mnt/data/Regaty\2019\Ekstraklasa\Runda 4\2019 Ekstraklasa - Szczecin.csv,IS2,KS Iskra AMW Gdynia
./mnt/data/Regaty\2019\Ekstraklasa\Runda 4\2019 Ekstraklasa - Szczecin.csv,POG,SEJK Pogoń Szczecin
./mnt/data/Regaty\2019\Ekstraklasa\Runda 4\2019 Ekstraklasa - Szczecin.csv,JEZ,Jeziorak Yacht Club
./mnt/data/Regaty\2019\Ekstraklasa\Runda 4\2019 Ekstraklasa - Szczecin.csv,JKM,JKM Gryf Gdynia
./mnt/data/Regaty\2019\Ekstraklasa\Runda 4\2019 Ekstraklasa - Szczecin.csv,OKZ,Olsztyński Klub Żeglarski
./mnt/data/Regaty\2019\Ekstraklasa\Runda 4\2019 Ekstraklasa - Szczecin.csv,DZY,PZKS Dżygit Białystok
./mnt/data/Regaty\2019\Ekstraklasa\Runda 4\2019 Ekstraklasa - Szczecin.csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2019\Ekstraklasa\Runda 4\2019 Ekstraklasa - Szczecin.csv,OD2,Odyssey Sailing Club
./mnt/data/Regaty\2019\Ekstraklasa\Runda 4\2019 Ekstraklasa - Szczecin.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2020\1Liga\Runda 1\2020 1 Liga - Sopot(1).csv,YG2,Yacht Club Gdańsk 2
./mnt/data/Regaty\2020\1Liga\Runda 1\2020 1 Liga - Sopot(1).csv,PJK,Puchar Polski Jachtów Kabinowych
./mnt/data/Regaty\2020\1Liga\Runda 1\2020 1 Liga - Sopot(1).csv,SPO,Sport Vita Ski&Sail
./mnt/data/Regaty\2020\1Liga\Runda 1\2020 1 Liga - Sopot(1).csv,JMZ,JK Między Żaglami
./mnt/data/Regaty\2020\1Liga\Runda 1\2020 1 Liga - Sopot(1).csv,PGR,AZS Politechnika Gdańska
./mnt/data/Regaty\2020\1Liga\Runda 1\2020 1 Liga - Sopot(1).csv,JSG,Jachtklub Stoczni Gdańskiej
./mnt/data/Regaty\2020\1Liga\Runda 1\2020 1 Liga - Sopot(1).csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2020\1Liga\Runda 1\2020 1 Liga - Sopot(1).csv,LE2,Legia Warszawa 2
./mnt/data/Regaty\2020\1Liga\Runda 1\2020 1 Liga - Sopot(1).csv,NAV,UKS Navigo
./mnt/data/Regaty\2020\1Liga\Runda 1\2020 1 Liga - Sopot(1).csv,LAS,RKS Lasery Zegrze
./mnt/data/Regaty\2020\1Liga\Runda 1\2020 1 Liga - Sopot(1).csv,GAR,KW Garland Gliwice
./mnt/data/Regaty\2020\1Liga\Runda 1\2020 1 Liga - Sopot(1).csv,POW,SKŻ Powidz
./mnt/data/Regaty\2020\1Liga\Runda 2\2020 1 Liga - Sopot(2).csv,SPO,Sport Vita Ski&Sail
./mnt/data/Regaty\2020\1Liga\Runda 2\2020 1 Liga - Sopot(2).csv,YG2,Yacht Club Gdańsk 2
./mnt/data/Regaty\2020\1Liga\Runda 2\2020 1 Liga - Sopot(2).csv,GAR,KW Garland Gliwice
./mnt/data/Regaty\2020\1Liga\Runda 2\2020 1 Liga - Sopot(2).csv,PJK,Puchar Polski Jachtów Kabinowych
./mnt/data/Regaty\2020\1Liga\Runda 2\2020 1 Liga - Sopot(2).csv,JSG,Jachtklub Stoczni Gdańskiej
./mnt/data/Regaty\2020\1Liga\Runda 2\2020 1 Liga - Sopot(2).csv,NAV,UKS Navigo
./mnt/data/Regaty\2020\1Liga\Runda 2\2020 1 Liga - Sopot(2).csv,PGR,AZS Politechnika Gdańska
./mnt/data/Regaty\2020\1Liga\Runda 2\2020 1 Liga - Sopot(2).csv,JMZ,JK Między Żaglami
./mnt/data/Regaty\2020\1Liga\Runda 2\2020 1 Liga - Sopot(2).csv,LAS,RKS Lasery Zegrze
./mnt/data/Regaty\2020\1Liga\Runda 2\2020 1 Liga - Sopot(2).csv,LE2,Legia Warszawa 2
./mnt/data/Regaty\2020\1Liga\Runda 2\2020 1 Liga - Sopot(2).csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2020\1Liga\Runda 2\2020 1 Liga - Sopot(2).csv,POW,SKŻ Powidz
./mnt/data/Regaty\2020\1Liga\Runda 3\2020 1 Liga - Szczecin(1).csv,YG2,Yacht Club Gdańsk 2
./mnt/data/Regaty\2020\1Liga\Runda 3\2020 1 Liga - Szczecin(1).csv,PGR,AZS Politechnika Gdańska
./mnt/data/Regaty\2020\1Liga\Runda 3\2020 1 Liga - Szczecin(1).csv,PJK,Puchar Polski Jachtów Kabinowych
./mnt/data/Regaty\2020\1Liga\Runda 3\2020 1 Liga - Szczecin(1).csv,GAR,KW Garland Gliwice
./mnt/data/Regaty\2020\1Liga\Runda 3\2020 1 Liga - Szczecin(1).csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2020\1Liga\Runda 3\2020 1 Liga - Szczecin(1).csv,SPO,Sport Vita Ski&Sail
./mnt/data/Regaty\2020\1Liga\Runda 3\2020 1 Liga - Szczecin(1).csv,JMZ,JK Między Żaglami
./mnt/data/Regaty\2020\1Liga\Runda 3\2020 1 Liga - Szczecin(1).csv,JSG,Jachtklub Stoczni Gdańskiej
./mnt/data/Regaty\2020\1Liga\Runda 3\2020 1 Liga - Szczecin(1).csv,LAS,RKS Lasery Zegrze
./mnt/data/Regaty\2020\1Liga\Runda 3\2020 1 Liga - Szczecin(1).csv,NAV,UKS Navigo
./mnt/data/Regaty\2020\1Liga\Runda 3\2020 1 Liga - Szczecin(1).csv,LE2,Legia Warszawa 2
./mnt/data/Regaty\2020\1Liga\Runda 3\2020 1 Liga - Szczecin(1).csv,POW,SKŻ Powidz
./mnt/data/Regaty\2020\1Liga\Runda 4\2020 1 Liga - Szczecin(2).csv,YG2,Yacht Club Gdańsk 2
./mnt/data/Regaty\2020\1Liga\Runda 4\2020 1 Liga - Szczecin(2).csv,JMZ,JK Między Żaglami
./mnt/data/Regaty\2020\1Liga\Runda 4\2020 1 Liga - Szczecin(2).csv,ODY,Odyssey Sailing Club
./mnt/data/Regaty\2020\1Liga\Runda 4\2020 1 Liga - Szczecin(2).csv,NAV,UKS Navigo
./mnt/data/Regaty\2020\1Liga\Runda 4\2020 1 Liga - Szczecin(2).csv,GAR,KW Garland Gliwice
./mnt/data/Regaty\2020\1Liga\Runda 4\2020 1 Liga - Szczecin(2).csv,SPO,Sport Vita Ski&Sail
./mnt/data/Regaty\2020\1Liga\Runda 4\2020 1 Liga - Szczecin(2).csv,PJK,Puchar Polski Jachtów Kabinowych
./mnt/data/Regaty\2020\1Liga\Runda 4\2020 1 Liga - Szczecin(2).csv,JSG,Jachtklub Stoczni Gdańskiej
./mnt/data/Regaty\2020\1Liga\Runda 4\2020 1 Liga - Szczecin(2).csv,LAS,RKS Lasery Zegrze
./mnt/data/Regaty\2020\1Liga\Runda 4\2020 1 Liga - Szczecin(2).csv,PGR,AZS Politechnika Gdańska
./mnt/data/Regaty\2020\1Liga\Runda 4\2020 1 Liga - Szczecin(2).csv,LE2,Legia Warszawa 2
./mnt/data/Regaty\2020\1Liga\Runda 4\2020 1 Liga - Szczecin(2).csv,POW,SKŻ Powidz
./mnt/data/Regaty\2020\Ekstraklasa\Runda 1\2020 Ekstraklasa - Szczecin.csv,ISK,KS Iskra AMW Gdynia
./mnt/data/Regaty\2020\Ekstraklasa\Runda 1\2020 Ekstraklasa - Szczecin.csv,YKP,Yacht Klub Polski Gdynia
./mnt/data/Regaty\2020\Ekstraklasa\Runda 1\2020 Ekstraklasa - Szczecin.csv,YCG,Yacht Club Gdańsk
./mnt/data/Regaty\2020\Ekstraklasa\Runda 1\2020 Ekstraklasa - Szczecin.csv,GIŻ,Giżycka Grupa Regatowa
./mnt/data/Regaty\2020\Ekstraklasa\Runda 1\2020 Ekstraklasa - Szczecin.csv,POG,SEJK Pogoń Szczecin
./mnt/data/Regaty\2020\Ekstraklasa\Runda 1\2020 Ekstraklasa - Szczecin.csv,77R,77 Racing
./mnt/data/Regaty\2020\Ekstraklasa\Runda 1\2020 Ekstraklasa - Szczecin.csv,SZT,Sztorm Grupa
./mnt/data/Regaty\2020\Ekstraklasa\Runda 1\2020 Ekstraklasa - Szczecin.csv,OKŻ,Olsztyński Klub Żeglarski
./mnt/data/Regaty\2020\Ekstraklasa\Runda 1\2020 Ekstraklasa - Szczecin.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2020\Ekstraklasa\Runda 1\2020 Ekstraklasa - Szczecin.csv,DŻY,PZKS Dżygit Białystok
./mnt/data/Regaty\2020\Ekstraklasa\Runda 1\2020 Ekstraklasa - Szczecin.csv,WOL,UKS Albatros Wolin
./mnt/data/Regaty\2020\Ekstraklasa\Runda 1\2020 Ekstraklasa - Szczecin.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2020\Ekstraklasa\Runda 2\2020 Ekstraklasa - Sopot(1).csv,YKP,Yacht Klub Polski Gdynia
./mnt/data/Regaty\2020\Ekstraklasa\Runda 2\2020 Ekstraklasa - Sopot(1).csv,YCG,Yacht Club Gdańsk
./mnt/data/Regaty\2020\Ekstraklasa\Runda 2\2020 Ekstraklasa - Sopot(1).csv,GIŻ,Giżycka Grupa Regatowa
./mnt/data/Regaty\2020\Ekstraklasa\Runda 2\2020 Ekstraklasa - Sopot(1).csv,OKŻ,Olsztyński Klub Żeglarski
./mnt/data/Regaty\2020\Ekstraklasa\Runda 2\2020 Ekstraklasa - Sopot(1).csv,LEG,Legia Warszawa
./mnt/data/Regaty\2020\Ekstraklasa\Runda 2\2020 Ekstraklasa - Sopot(1).csv,ISK,KS Iskra AMW Gdynia
./mnt/data/Regaty\2020\Ekstraklasa\Runda 2\2020 Ekstraklasa - Sopot(1).csv,SZT,Sztorm Grupa
./mnt/data/Regaty\2020\Ekstraklasa\Runda 2\2020 Ekstraklasa - Sopot(1).csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2020\Ekstraklasa\Runda 2\2020 Ekstraklasa - Sopot(1).csv,DŻY,PZKS Dżygit Białystok
./mnt/data/Regaty\2020\Ekstraklasa\Runda 2\2020 Ekstraklasa - Sopot(1).csv,POG,SEJK Pogoń Szczecin
./mnt/data/Regaty\2020\Ekstraklasa\Runda 2\2020 Ekstraklasa - Sopot(1).csv,WOL,UKS Albatros Wolin
./mnt/data/Regaty\2020\Ekstraklasa\Runda 2\2020 Ekstraklasa - Sopot(1).csv,77R,77 Racing
./mnt/data/Regaty\2020\Ekstraklasa\Runda 3\2020 Ekstraklasa - Sopot(2).csv,YKP,Yacht Klub Polski Gdynia
./mnt/data/Regaty\2020\Ekstraklasa\Runda 3\2020 Ekstraklasa - Sopot(2).csv,GIŻ,Giżycka Grupa Regatowa
./mnt/data/Regaty\2020\Ekstraklasa\Runda 3\2020 Ekstraklasa - Sopot(2).csv,YCG,Yacht Club Gdańsk
./mnt/data/Regaty\2020\Ekstraklasa\Runda 3\2020 Ekstraklasa - Sopot(2).csv,SZT,Sztorm Grupa
./mnt/data/Regaty\2020\Ekstraklasa\Runda 3\2020 Ekstraklasa - Sopot(2).csv,POG,SEJK Pogoń Szczecin
./mnt/data/Regaty\2020\Ekstraklasa\Runda 3\2020 Ekstraklasa - Sopot(2).csv,OKŻ,Olsztyński Klub Żeglarski
./mnt/data/Regaty\2020\Ekstraklasa\Runda 3\2020 Ekstraklasa - Sopot(2).csv,ISK,KS Iskra AMW Gdynia
./mnt/data/Regaty\2020\Ekstraklasa\Runda 3\2020 Ekstraklasa - Sopot(2).csv,WOL,UKS Albatros Wolin
./mnt/data/Regaty\2020\Ekstraklasa\Runda 3\2020 Ekstraklasa - Sopot(2).csv,LEG,Legia Warszawa
./mnt/data/Regaty\2020\Ekstraklasa\Runda 3\2020 Ekstraklasa - Sopot(2).csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2020\Ekstraklasa\Runda 3\2020 Ekstraklasa - Sopot(2).csv,DŻY,PZKS Dżygit Białystok
./mnt/data/Regaty\2020\Ekstraklasa\Runda 3\2020 Ekstraklasa - Sopot(2).csv,77R,77 Racing
./mnt/data/Regaty\2020\Ekstraklasa\Runda 4\2020 Ekstraklasa - Świnoujście.csv,YCG,Yacht Club Gdańsk
./mnt/data/Regaty\2020\Ekstraklasa\Runda 4\2020 Ekstraklasa - Świnoujście.csv,GIŻ,Giżycka Grupa Regatowa
./mnt/data/Regaty\2020\Ekstraklasa\Runda 4\2020 Ekstraklasa - Świnoujście.csv,YKP,Yacht Klub Polski Gdynia
./mnt/data/Regaty\2020\Ekstraklasa\Runda 4\2020 Ekstraklasa - Świnoujście.csv,POG,SEJK Pogoń Szczecin
./mnt/data/Regaty\2020\Ekstraklasa\Runda 4\2020 Ekstraklasa - Świnoujście.csv,SZT,Sztorm Grupa
./mnt/data/Regaty\2020\Ekstraklasa\Runda 4\2020 Ekstraklasa - Świnoujście.csv,WOL,UKS Albatros Wolin
./mnt/data/Regaty\2020\Ekstraklasa\Runda 4\2020 Ekstraklasa - Świnoujście.csv,77R,77 Racing
./mnt/data/Regaty\2020\Ekstraklasa\Runda 4\2020 Ekstraklasa - Świnoujście.csv,LEG,Legia Warszawa
./mnt/data/Regaty\2020\Ekstraklasa\Runda 4\2020 Ekstraklasa - Świnoujście.csv,ISK,KS Iskra AMW Gdynia
./mnt/data/Regaty\2020\Ekstraklasa\Runda 4\2020 Ekstraklasa - Świnoujście.csv,OKŻ,Olsztyński Klub Żeglarski
./mnt/data/Regaty\2020\Ekstraklasa\Runda 4\2020 Ekstraklasa - Świnoujście.csv,YCS,Yacht Club Sopot
./mnt/data/Regaty\2020\Ekstraklasa\Runda 4\2020 Ekstraklasa - Świnoujście.csv,DŻY,PZKS Dżygit Białystok
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,WAT,AZS WAT Warszawa
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,WRO,UKS Żeglarz Wrocław
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,YSZ,YKP Szczecin
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,HRM,HRM Racing Yacht Club Gdańsk
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,AWF,AZS AWFiS Gdańsk
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,NAV,UKS Navigo
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,GSP,Garden Space Sailing Club
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,NIE,KS Marina Niesulice
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,OCC,Ocean Challenge Yacht Club Ladies Sailing Team
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,KKZ,Kościański Klub Żeglarski
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,GRP,TFE Grupa Regatowa Powidz
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,RBP,Regatta Business Poland
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,LE2,Legia Warszawa 2
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,ETI,Etisoft Sailing Team Gliwice
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,YS2,Yacht Club Sopot 2
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,LAS,RKS Lasery Zegrze
./mnt/data/Regaty\2021\1Liga\Runda 1\2021 1 Liga - Sopot.csv,POW,SKŻ Powidz
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,AWF,AZS AWFiS Gdańsk
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,WRO,UKS Żeglarz Wrocław
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,WAT,AZS WAT Warszawa
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,YSZ,YKP Szczecin
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,NIE,KS Marina Niesulice
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,GRP,TFE Grupa Regatowa Powidz
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,HRM,HRM Racing Yacht Club Gdańsk
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,KKZ,Kościański Klub Żeglarski
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,NAV,UKS Navigo
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,YS2,Yacht Club Sopot 2
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,GSP,Garden Space Sailing Club
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,LAS,RKS Lasery Zegrze
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,LE2,Legia Warszawa 2
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,OCC,Ocean Challenge Yacht Club Ladies Sailing Team
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,ETI,Etisoft Sailing Team Gliwice
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,RBP,Regatta Business Poland
./mnt/data/Regaty\2021\1Liga\Runda 2\2021 1 Liga - Gdynia.csv,POW,SKŻ Powidz
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,YSZ,YKP Szczecin
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,AWF,AZS AWFiS Gdańsk
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,WRO,UKS Żeglarz Wrocław
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,WAT,AZS WAT Warszawa
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,NAV,UKS Navigo
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,HRM,HRM Racing Yacht Club Gdańsk
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,LE2,Legia Warszawa 2
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,NIE,KS Marina Niesulice
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,LAS,RKS Lasery Zegrze
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,GSP,Garden Space Sailing Club
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,GRP,TFE Grupa Regatowa Powidz
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,YS2,Yacht Club Sopot 2
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,KKZ,Kościański Klub Żeglarski
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,AKA,Akademia Żeglarstwa w Środzie Wielkopolskiej
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,ETI,Etisoft Sailing Team Gliwice
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,OCC,Ocean Challenge Yacht Club Ladies Sailing Team
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,RBP,Regatta Business Poland
./mnt/data/Regaty\2021\1Liga\Runda 3\2021 1 Liga - Szczecin.csv,POW,SKŻ Powidz
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,WAT,AZS WAT Warszawa
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,AWF,AZS AWFiS Gdańsk
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,YSZ,YKP Szczecin
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,WRO,UKS Żeglarz Wrocław
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,GSP,Garden Space Sailing Club
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,GRP,TFE Grupa Regatowa Powidz
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,KKZ,Kościański Klub Żeglarski
./mnt/data/Regaty\2021\1Liga\Runda 4\2021 1 Liga - Warszawa.csv,HRM,HRM Racing Yacht Club Gdańsk
