Skrot,Nazwa,ID_zestawienia_klubow,ID_wariantu_klubu
SOL,KS Puchar Soliny,9085,55501945
SPO,,9086,96948674
SPO,Sport Vita Ski&Sail,9086,35887754
SRC,Symfonia Racing,9087,47299099
SZT,,9088,87312442
SZT,Sztorm Grupa,9088,74363723
SZT,Sztorm Grupa Warszawa,9088,90735668
TBD,,9089,53003010
TXT,,9090,24214318
TZR,DTP PMT TŻR Szczecin,9091,66479890
TZR,PMT TZR Szczecin,9091,88156681
WAT,,9092,94762767
WAT,AZS WAT Warszawa,9092,75141924
WOL,,9093,60467964
WOL,UKS Albatros Wolin,9093,64830853
WRO,,9094,32084212
WRO,UKS Żeglarz Wrocław,9094,95701656
WTR,Warszawskie Towarzystwo Regatowe,9095,45666287
WTZ,Warszawskie Towarzystwo Zeglarskie,9095,20369814
YC2,Yacht Club Sopot 2,9097,86712611
YCB,,9098,6377109
YCB,Yacht Club Białołeka,9098,74174186
YCB,Yacht Club Białołęka,9098,20173236
YCG,,9099,2427462
YCG,Yacht Club Gdańsk,9099,49746069
YCJ,,9099,5017328
YCS,,9101,37025542
YCS,Yacht Club Sopot,9101,21267167
YCS AWF,YC Sztag AWF Katowice,9102,30610044
YCY,,9099,65777980
YG2,Yacht Club Gdańsk 2,9099,32679058
YKL,,9105,24653760
YKL,Lubelskie YKP Lublin,9105,73113253
YKP,,9106,62941916
YKP,YKP Gdynia,9106,9704316
YKP,Yacht Klub Polski Gdynia,9106,77473926
YKS,,9107,99914577
YKS,YKP Szczecin,9107,832153
YKW,,9108,30762817
YKW,YKP Warszawa,9108,77440855
YS2,,9101,35560429
YS2,Yacht Club Sopot 2,9101,8699349
YSZ,YKP Szczecin,9107,26725552
YZ2,YKP Szczecin 2,9107,10708798
ZEG,RKS Lasery Zegrze,9043,95362201
