M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,Σ
1, ISK,KS Iskra AMW Gdynia,2,2,2,1,2,2,3,2,1,2,1,20
2, YKP,Yacht Klub Polski Gdynia,3,1,6,3,1,1,1,1,1,2,2,22
3, YCG,Yacht Club Gdańsk,2,2,1,2,1,1,2,2,3,5,3,24
4, GIZ,Giżycka Grupa Regatowa,1,1,3,2,2,5,4,4,5,1,5,33
5, POG,SEJK Pogoń Szczecin,4,4,4,3,6,4,2,4,2,1,1,35
6, 77R,77 Racing,5,5,5,1,5,6,1,5,4,3,3,43
7, SZT,Sztorm Grupa,1,5,1,5,5,4,5,3,4,5,5,43
8, OKZ,Olsztyński Klub Żeglarski,6,3,5,4,4,2,5,1,6,4,4,44
9, LEG,Legia Warszawa,4,6,2,5,6,3,3,3,3,4,6,45
10, DZY,PZKS Dżygit Białystok,5,4,4,4,4,6,4,6,2,6,2,47
11, WOL,UKS Albatros Wolin,6,3,3,6,3,5,6,6,5,3,6,52
12, YCS,Yacht Club Sopot,3,7 (RET),6,6,3,3,6,5,6,6,4,55
