M-sce,Skrót,Klub,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,Σ
1,JKW,Jachtklub Wielkopolski Poznań,6,2,,4,1,1,,2,,3,1,,1,3,1,,5,,19
2,JKM,Jachtklub Gryf Gdynia,2,1,2,,2,,1,4,,4,5,3,,2,,1,4,,22
3,YCS,Yacht Club Sopot,3,,5,,3,3,,1,1,1,,4,,4,2,,2,2,22
4,YKS,YKP Szczecin,1,,1,2,,7 (OCS),2,5,,2,,7 (OCS),2,,3,4,1,,23
5,OST,Klub Żeglarski Ostróda,,4,3,,5,7 (OCS),5,,3,,4,1,,1,5,3,,5,34
6,MUKZ,MUKŻ Bałtyk Mielno,5,,4,3,6,,3,,5,6,,2,3,7 (OCS),,2,,1,34
7,GOR,KS Górnik Boguszowice,4,3,,1,,2,4,,2,5,7 (OCS),,4,,6,6,,3,34
8,DZY,PŻKS Dźygit Białystok,,5,,5,,,7 (OCS),3,4,,3,,5,7 (OCS),,5,3,6,43
9,HORN,KŻ Horn Kraków,,6,6,6,4,7 (OCS),,6,6,,2,5,6,,4,,6,4,51
