Zawodnik,Klub,Runda
Damian Pietruszewski,AWF,1
Tomasz Micewicz,AWF,1
Damian Pietruszewski,AWF,2
Maciej Suchecki,AWF,2
Tomasz Micewicz,AWF,2
Mateusz Wiśniewski,AWF,2
Stanisław Radojewski,AWF,3
Mateusz Wiśniewski,AWF,3
Damian Pietruszewski,AWF,3
Tomasz Micewicz,AWF,3
Tomasz Micewicz,AWF,4
Bartosz Szlija,AWF,4
Mateusz Wiśniewski,AWF,4
Damian Pietruszewski,AWF,4
Tymon Sadowski,YKL,1
Mikołaj Gielniak,YKL,1
Janek Stremlau,YKL,1
Patryk Richter,YKL,1
Magdalena Kwaśna,YKL,1
Tymon Sadowski,YKL,2
Mikołaj Gielniak,YKL,2
Magdalena Kwaśna,YKL,2
Kacper Gwóźdź,YKL,2
Tymon Sadowski,YKL,3
Mikołaj Gielniak,YKL,3
Patryk Richter,YKL,3
Janek Stremlau,YKL,3
Tymon Sadowski,YKL,4
Mikołaj Gielniak,YKL,4
Janek Stremlau,YKL,4
Magdalena Kwaśna,YKL,4
Aleks Michalski,RSR,1
Filip Ciszkiewicz,RSR,1
Karolina Żurek,RSR,1
Paweł Leksycki,RSR,1
Aleksander Michalski,RSR,2
Jan Krasodomski,RSR,2
Paweł Leksycki,RSR,2
Karolina Żurek,RSR,2
Aleksander Michalski,RSR,3
Karolina Żurek,RSR,3
Jan Krasodomski,RSR,3
Paweł Leksycki,RSR,3
Jan Krasodomski,RSR,4
Aleksander Michalski,RSR,4
Karolina Żurek,RSR,4
Paweł Leksycki,RSR,4
Weronika Jaroszek,WOL,1
Julia Rogalska,WOL,1
Michał Kryński,WOL,1
Aleksander Waszkiewicz,WOL,1
Weronika Jaroszek,WOL,2
Aleksander Waszkiewicz,WOL,2
Jeremi Dąbrowski,WOL,2
Julia Rogalska,WOL,2
Adrian Dybowski,WOL,2
Weronika Jaroszek,WOL,3
Aleksander Waszkiewicz,WOL,3
Jeremi Dąbrowski,WOL,3
Michał Kryński,WOL,3
Aleksander Waszkiewicz,WOL,4
Michał Kryński,WOL,4
Weronika Jaroszek,WOL,4
Jeremi Dąbrowski,WOL,4
Krystian Łukaszewicz,WOL,4
Bartosz Mach,SPO,1
Mateusz Kaczmarowski,SPO,1
Michał Korneszczuk,SPO,1
Bartłomiej Wójciak,SPO,1
Maciej Chatłas,SPO,2
Michał Korneszczuk,SPO,2
Mateusz Kaczmarowski,SPO,2
Bartosz Mach,SPO,2
Bartłomiej Wójciak,SPO,2
Bartłomiej Wójciak,SPO,3
Filip Ciszkiewicz,SPO,3
Mateusz Kaczmarowski,SPO,3
Maciej Chatłas,SPO,3
Bartłomiej Wójciak,SPO,4
Mateusz Kaczmarowski,SPO,4
Filip Ciszkiewicz,SPO,4
Maciej Chatłas,SPO,4
Daniel Sokołowski,KKZ,1
Przemysław Witkowski,KKZ,1
Mieszko Morawski,KKZ,1
Piotr Inglot,KKZ,1
Przemysław Witkowski,KKZ,2
Daniel Sokołowski,KKZ,2
