,Zawodnik,Klub,Runda
235,Katarzyna Harc,ONB,3
236,Oskar Rożek,ONB,3
237,Natalia Malinowska,ONB,3
244,Jakub Stachowski,MEC,2
245,Jakub Bentkowski,MEC,2
246,Szymon Ignaciuk,MEC,2
247,Jakub Kupś,MEC,2
248,Michał Strusiński,MEC,2
250,Michał Strusiński,MEC,3
251,Paweł Cherubin,MEC,3
252,Jakub Stachowski,MEC,3
253,Jakub Bentkowski,MEC,3
254,Szymon Ignaciuk,MEC,3
255,Jakub Wiedeheft,BSA,1
256,Dominik Janowczyk,BSA,1
257,Piotr Kurek,BSA,1
258,Szymon Janiak,BSA,1
261,Jakub Wiedeheft,BSA,2
262,Jarosław Goździk,BSA,2
263,Piotr Kurek,BSA,2
264,Szymon Janiak,BSA,2
265,Tymon Gajdziński,BSA,2
267,Jakub Wiedeheft,BSA,3
268,Piotr Kurek,BSA,3
269,Maciej Cymerman,BSA,3
270,Szymon Janiak,BSA,3
271,Jarosław Goździk,BSA,3
272,Grzegorz Krupa,ETI,1
273,Przemysław Mistur,ETI,1
274,Bartosz Brzozowski,ETI,1
275,Michał Włodarczak,ETI,1
278,Grzegorz Krupa – Sternik,ETI,2
279,Przemysław Mistur,ETI,2
280,Bartosz Brzozowski,ETI,2
281,Michał Włodarczak,ETI,2
284,Grzegorz Krupa,ETI,3
285,Przemysław Mistur,ETI,3
286,Bartosz Brzozowski,ETI,3
287,Michał Włodarczak,ETI,3
289,Konrad Masłowski,YKW,1
290,Maciej Dąbrowski,YKW,1
291,Maks Jabłecki,YKW,1
292,Michał Tomaszewski,YKW,1
295,Konrad Masłowski,YKW,2
296,Maksymilian Jabłecki,YKW,2
297,Michał Tomaszewski,YKW,2
298,Maksymilian Karczewski,YKW,2
301,Maciej Dąbrowski,YKW,3
302,Maksymilian Jabłecki,YKW,3
303,Konrad Masłowski,YKW,3
304,Michał Tomaszewski,YKW,3
