M-sce,Skrót,Klub,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,Σ
1, YCG,Yacht Club Gdańsk,4,3,1,1,1,4,2,2,4,2,1,1,26
2, GIŻ,Giżycka Grupa Regatowa,2,2,3,4,4,2,1,1,1,4,1,1,26
3, YKP,Yacht Klub Polski Gdynia,3,2,5,2,1,1,2,3,5,1,3,6,34
4, POG,SEJK Pogoń Szczecin,7 (DNF),1,5,5,2,1,1,1,1,5,5,2,36
5, SZT,Sztorm Grupa,1,1,4,3,2,4,4,2,3,1,6,6,37
6, WOL,UKS Albatros Wolin,1,6,2,2,3,2,5,6,5,5,2,2,41
7, 77R,77 Racing,2,4,4,6,3,3,4,4,6,3,2,4,45
8, LEG,Legia Warszawa,3,4,3,6,4,5,3,3,2,3,5,5,46
9, ISK,KS Iskra AMW Gdynia,7 (OCS),6,2,4,5,3,5,4,2,4,4,4,50
10, OKŻ,Olsztyński Klub Żeglarski,5,5,6,5,5,5,3,5,3,2,6,3,53
11, YCS,Yacht Club Sopot,5,3,1,3,7 (DNF),6,6,5,4,6,4,5,55
12, DŻY,PZKS Dżygit Białystok,4,5,6,1,6,6,6,6,6,6,3,3,58
