ID_wystepowania,ID_Zawodnika,ID_Regat,Skrot,Trening
12870068,873413,21078561,YCS,
10911755,79147169,31071604,KKZ,
32651567,56799050,21078561,BLX,
37103368,21665175,59609769,RSR,
80391391,22785032,59609769,GRP,
53092675,65824952,59609769,POL,
75901618,67917096,59609769,RSR,
65473397,79147169,59609769,KKZ,
57917002,9574951,59609769,OCC,
4647516,21665175,51626046,RSR,
90175708,65824952,51626046,POL,
80422357,30063637,51626046,GRP,
14898524,67917096,51626046,RSR,
60677795,79147169,51626046,KKZ,
79778414,9574951,51626046,OCC,
36309126,21665175,72870325,RSR,
18834755,65824952,72870325,POL,
506663,71589137,15498062,LEG,
5561856,11120520,15498062,YCG,
14473620,15603428,15498062,GGR,
43055763,73728079,72870325,YKL,
7837558,13647562,15498062,LEG,
63756989,95999433,15498062,AWF,
46804693,24283626,15498062,YCS,
16273642,67917096,72870325,RSR,
38949166,75356731,15498062,YCB,
92079804,873413,15498062,YCS,
37683942,79147169,72870325,KKZ,
36107660,56799050,15498062,BLX,
93302331,9574951,72870325,OCC,
70556929,21665175,46597156,RSR,
68874082,22785032,10285883,ODY,
90390337,65824952,46597156,POL,
81448168,71589137,46597156,LEG,
67787049,28374567,10285883,WOL,
83054175,11120520,46597156,YCG,
67715620,45466641,46597156,RSR,
86060618,15603428,46597156,NSO,
414082,73728079,46597156,YKL,
10259007,59502195,46597156,PGR,
71381566,13647562,46597156,LEG,
1983397,24449860,10285883,SPO,
53142451,95999433,46597156,AWF,
59384941,43188873,46597156,YCG,
12890327,62687687,46597156,PGR,
9761182,52138719,46597156,NSO,
95439119,24283626,46597156,YCS,
90792677,67917096,46597156,RSR,
8572883,75356731,10285883,YCB,
87107583,873413,46597156,YCS,
46354968,79147169,10285883,KKZ,
97683148,56799050,46597156,YKP,
63475159,87762857,46597156,PGR,
99539737,69935946,46597156,NSO,
69479054,21665175,97148389,RSR,
7727471,22785032,50632845,ODY,
33645447,65824952,97148389,POL,
75645502,71589137,97148389,LEG,
9505721,28374567,50632845,WOL,
22291129,11120520,97148389,YCG,
1423026,45466641,97148389,RSR,
98132019,15603428,97148389,NSO,
80604435,73728079,97148389,YKL,
2051767,59502195,97148389,PGR,
3721023,13647562,97148389,LEG,
60892876,6236001,97148389,PGR,
17588049,24449860,50632845,SPO,
99420202,95999433,97148389,AWF,
58148026,43188873,97148389,YCG,
18558910,62687687,97148389,PGR,
2779566,52138719,97148389,NSO,
84848578,24283626,97148389,YCS,
79526542,67917096,97148389,RSR,
98514406,75356731,50632845,YCB,
97582144,873413,97148389,YCS,
26477959,79147169,50632845,KKZ,
24822438,56799050,97148389,YKP,
73451168,64982746,50632845,GAR,
56754113,9574951,75270731,ONB,
9112030,87762857,97148389,PGR,
61815803,56240541,50632845,WOL,
42476638,69935946,97148389,NSO,
93646089,21665175,72722761,RSR,
30548550,22785032,60773118,ODY,
14964418,65824952,72722761,POL,
10193311,71589137,72722761,LEG,
64156908,28374567,60773118,WOL,
49425260,11120520,72722761,YCG,
29729972,45466641,72722761,RSR,
91308462,15603428,72722761,NSO,
64850517,73728079,72722761,YKL,
51949726,59502195,72722761,PGR,
78659083,13647562,72722761,LEG,
96910194,24449860,60773118,SPO,
52282393,95999433,72722761,AWF,
58404571,43188873,72722761,YCG,
86511757,62687687,72722761,PGR,
90585727,52138719,72722761,NSO,
19358298,24283626,72722761,YCS,
38101483,67917096,72722761,RSR,
84138445,873413,72722761,YCS,
36613086,79147169,60773118,KKZ,
23399026,56799050,72722761,YKP,
29217789,9574951,44960821,ONB,
84873411,87762857,72722761,PGR,
79436034,56240541,60773118,WOL,
49374211,69935946,72722761,NSO,
1078183,22785032,23242296,ODY,
13716949,28374567,23242296,WOL,
81971522,24449860,23242296,SPO,
7049796,75356731,23242296,YCB,
1682469,79147169,23242296,KKZ,
22541983,9574951,39731721,ONB,
4942609,56240541,23242296,WOL,
