ID_miejsca,ID_wyscigu,Skrot,Zajete_miejsce,Kary,Numer_lodki
,80979587,POG,3.0,0,0
,06979461,POG,1.0,0,0
,55244558,POG,5.0,0,0
,22087416,POG,4.0,0,0
,84156063,POG,4.0,0,0
,96867060,POG,3.0,0,0
,98968651,POG,3.0,0,0
,97117451,POG,5.0,0,0
,26357905,POG,3.0,0,0
,80979587,YKP,5.0,0,0
,06979461,YKP,6.0,0,0
,55244558,YKP,3.0,0,0
,22087416,YKP,2.0,0,0
,84156063,YKP,2.0,0,0
,96867060,YKP,1.0,0,0
,98968651,YKP,6.0,0,0
,97117451,YKP,2.0,0,0
,26357905,YKP,6.0,0,0
,80979587,HRM,2.0,0,0
,06979461,HRM,2.0,0,0
,55244558,HRM,4.0,0,0
,22087416,HRM,6.0,0,0
,84156063,HRM,8.0,0,0
,96867060,HRM,2.0,0,0
,98968651,HRM,1.0,0,0
,97117451,HRM,1.0,0,0
,26357905,HRM,8.0,0,0
,80979587,YCG,2.0,0,0
,06979461,YCG,4.0,0,0
,55244558,YCG,7.0,0,0
,22087416,YCG,1.0,0,0
,84156063,YCG,1.0,0,0
,96867060,YCG,5.0,0,0
,98968651,YCG,4.0,0,0
,97117451,YCG,4.0,0,0
,26357905,YCG,7.0,0,0
,80979587,LEG,5.0,0,0
,06979461,LEG,3.0,0,0
,55244558,LEG,5.0,0,0
,22087416,LEG,4.0,0,0
,84156063,LEG,5.0,0,0
,96867060,LEG,3.0,0,0
,98968651,LEG,2.0,0,0
,97117451,LEG,7.0,0,0
,26357905,LEG,2.0,0,0
,80979587,YKS,6.0,0,0
,06979461,YKS,5.0,0,0
,55244558,YKS,1.0,0,0
,22087416,YKS,2.0,0,0
,84156063,YKS,7.0,0,0
,96867060,YKS,7.0,0,0
,98968651,YKS,5.0,0,0
,97117451,YKS,3.0,0,0
,26357905,YKS,1.0,0,0
,80979587,YCS,1.0,0,0
,06979461,YCS,7.0,0,0
,55244558,YCS,8.0,0,0
,22087416,YCS,1.0,0,0
,84156063,YCS,6.0,0,0
,96867060,YCS,2.0,0,0
,98968651,YCS,8.0,0,0
,97117451,YCS,2.0,0,0
,26357905,YCS,4.0,0,0
,80979587,NSO,4.0,0,0
,06979461,NSO,1.0,0,0
,55244558,NSO,2.0,0,0
,22087416,NSO,3.0,0,0
,84156063,NSO,4.0,0,0
,96867060,NSO,6.0,0,0
,98968651,NSO,9.0,0,0
,97117451,NSO,8.0,0,0
,26357905,NSO,5.0,0,0
,80979587,RSR,4.0,0,0
,06979461,RSR,8.0,0,0
,55244558,RSR,3.0,0,0
,22087416,RSR,5.0,0,0
,84156063,RSR,2.0,0,0
,96867060,RSR,6.0,0,0
,98968651,RSR,7.0,0,0
,97117451,RSR,1.0,0,0
,26357905,RSR,9.0,0,0
,80979587,WAT,3.0,0,0
,06979461,WAT,2.0,0,0
,55244558,WAT,1.0,0,0
,22087416,WAT,5.0,0,0
,84156063,WAT,8.0,0,0
,96867060,WAT,8.0,0,0
,98968651,WAT,2.0,0,0
,97117451,WAT,9.0,0,0
,26357905,WAT,10.0,0,0
,80979587,OCC,1.0,0,0
,06979461,OCC,5.0,0,0
,55244558,OCC,10.0,1,0
,22087416,OCC,6.0,0,0
,84156063,OCC,7.0,0,0
,96867060,OCC,4.0,0,0
,98968651,OCC,6.0,0,0
,97117451,OCC,3.0,0,0
,26357905,OCC,10.0,0,0
,80979587,AWF,7.0,0,0
,06979461,AWF,6.0,0,0
,55244558,AWF,2.0,0,0
,22087416,AWF,3.0,0,0
,84156063,AWF,3.0,0,0
,96867060,AWF,9.0,0,0
,98968651,AWF,9.0,0,0
,97117451,AWF,4.0,0,0
,26357905,AWF,10.0,0,0
,80979587,YKL,8.0,0,0
,06979461,YKL,9.0,0,0
,55244558,YKL,4.0,0,0
,22087416,YKL,9.0,0,0
,84156063,YKL,6.0,0,0
,96867060,YKL,1.0,0,0
,98968651,YKL,3.0,0,0
,97117451,YKL,5.0,0,0
,26357905,YKL,10.0,0,0
,80979587,WOL,6.0,0,0
,06979461,WOL,8.0,0,0
,55244558,WOL,6.0,0,0
,22087416,WOL,7.0,0,0
,84156063,WOL,3.0,0,0
,96867060,WOL,4.0,0,0
,98968651,WOL,7.0,0,0
,97117451,WOL,6.0,0,0
,26357905,WOL,10.0,0,0
,80979587,WRO,8.0,0,0
,06979461,WRO,4.0,0,0
,55244558,WRO,9.0,0,0
,22087416,WRO,8.0,0,0
,84156063,WRO,5.0,0,0
,96867060,WRO,8.0,0,0
,98968651,WRO,1.0,0,0
,97117451,WRO,7.0,0,0
,26357905,WRO,10.0,0,0
,80979587,SPO,7.0,0,0
,06979461,SPO,7.0,0,0
,55244558,SPO,7.0,0,0
,22087416,SPO,9.0,0,0
,84156063,SPO,1.0,0,0
,96867060,SPO,5.0,0,0
,98968651,SPO,8.0,0,0
,97117451,SPO,6.0,0,0
,26357905,SPO,10.0,0,0
,80979587,PGR,9.0,0,0
,06979461,PGR,9.0,0,0
,55244558,PGR,6.0,0,0
,22087416,PGR,7.0,0,0
,84156063,PGR,9.0,0,0
,96867060,PGR,7.0,0,0
,98968651,PGR,4.0,0,0
,97117451,PGR,8.0,0,0
,26357905,PGR,10.0,0,0
,80979587,KKZ,9.0,0,0
,06979461,KKZ,3.0,0,0
,55244558,KKZ,10.0,1,0
,22087416,KKZ,8.0,0,0
,84156063,KKZ,9.0,0,0
,96867060,KKZ,9.0,0,0
,98968651,KKZ,5.0,0,0
,97117451,KKZ,9.0,0,0
,26357905,KKZ,10.0,0,0
