ID_miejsca,ID_wyscigu,Skrot,Zajete_miejsce,Kary,Numer_lodki
,16940034,JKW,6.0,0,0
,66369873,JKW,2.0,0,0
,52608027,JKW,7.0,0,0
,19071993,JKW,4.0,0,0
,64074362,JKW,1.0,0,0
,75553068,JKW,1.0,0,0
,98094781,JKW,7.0,0,0
,28070015,JKW,2.0,0,0
,07360811,JKW,7.0,0,0
,59189890,JKW,3.0,0,0
,63149617,JKW,1.0,0,0
,14453711,JKW,7.0,0,0
,53733842,JKW,1.0,0,0
,52536772,JKW,3.0,0,0
,99189746,JKW,1.0,0,0
,73932889,JKW,7.0,0,0
,32347789,JKW,5.0,0,0
,33838906,JKW,7.0,0,0
,16940034,JKM,2.0,0,0
,66369873,JKM,1.0,0,0
,52608027,JKM,2.0,0,0
,19071993,JKM,7.0,0,0
,64074362,JKM,2.0,0,0
,75553068,JKM,7.0,0,0
,98094781,JKM,1.0,0,0
,28070015,JKM,4.0,0,0
,07360811,JKM,7.0,0,0
,59189890,JKM,4.0,0,0
,63149617,JKM,5.0,0,0
,14453711,JKM,3.0,0,0
,53733842,JKM,7.0,0,0
,52536772,JKM,2.0,0,0
,99189746,JKM,7.0,0,0
,73932889,JKM,1.0,0,0
,32347789,JKM,4.0,0,0
,33838906,JKM,7.0,0,0
,16940034,YCS,3.0,0,0
,66369873,YCS,7.0,0,0
,52608027,YCS,5.0,0,0
,19071993,YCS,7.0,0,0
,64074362,YCS,3.0,0,0
,75553068,YCS,3.0,0,0
,98094781,YCS,7.0,0,0
,28070015,YCS,1.0,0,0
,07360811,YCS,1.0,0,0
,59189890,YCS,1.0,0,0
,63149617,YCS,7.0,0,0
,14453711,YCS,4.0,0,0
,53733842,YCS,7.0,0,0
,52536772,YCS,4.0,0,0
,99189746,YCS,2.0,0,0
,73932889,YCS,7.0,0,0
,32347789,YCS,2.0,0,0
,33838906,YCS,2.0,0,0
,16940034,YKS,1.0,0,0
,66369873,YKS,7.0,0,0
,52608027,YKS,1.0,0,0
,19071993,YKS,2.0,0,0
,64074362,YKS,7.0,0,0
,75553068,YKS,7.0,1,0
,98094781,YKS,2.0,0,0
,28070015,YKS,5.0,0,0
,07360811,YKS,7.0,0,0
,59189890,YKS,2.0,0,0
,63149617,YKS,7.0,0,0
,14453711,YKS,7.0,1,0
,53733842,YKS,2.0,0,0
,52536772,YKS,7.0,0,0
,99189746,YKS,3.0,0,0
,73932889,YKS,4.0,0,0
,32347789,YKS,1.0,0,0
,33838906,YKS,7.0,0,0
,16940034,OST,7.0,0,0
,66369873,OST,4.0,0,0
,52608027,OST,3.0,0,0
,19071993,OST,7.0,0,0
,64074362,OST,5.0,0,0
,75553068,OST,7.0,1,0
,98094781,OST,5.0,0,0
,28070015,OST,7.0,0,0
,07360811,OST,3.0,0,0
,59189890,OST,7.0,0,0
,63149617,OST,4.0,0,0
,14453711,OST,1.0,0,0
,53733842,OST,7.0,0,0
,52536772,OST,1.0,0,0
,99189746,OST,5.0,0,0
,73932889,OST,3.0,0,0
,32347789,OST,7.0,0,0
,33838906,OST,5.0,0,0
,16940034,MUKZ,5.0,0,0
,66369873,MUKZ,7.0,0,0
,52608027,MUKZ,4.0,0,0
,19071993,MUKZ,3.0,0,0
,64074362,MUKZ,6.0,0,0
,75553068,MUKZ,7.0,0,0
,98094781,MUKZ,3.0,0,0
,28070015,MUKZ,7.0,0,0
,07360811,MUKZ,5.0,0,0
,59189890,MUKZ,6.0,0,0
,63149617,MUKZ,7.0,0,0
,14453711,MUKZ,2.0,0,0
,53733842,MUKZ,3.0,0,0
,52536772,MUKZ,7.0,1,0
,99189746,MUKZ,7.0,0,0
,73932889,MUKZ,2.0,0,0
,32347789,MUKZ,7.0,0,0
,33838906,MUKZ,1.0,0,0
,16940034,GOR,4.0,0,0
,66369873,GOR,3.0,0,0
,52608027,GOR,7.0,0,0
,19071993,GOR,1.0,0,0
,64074362,GOR,7.0,0,0
,75553068,GOR,2.0,0,0
,98094781,GOR,4.0,0,0
,28070015,GOR,7.0,0,0
,07360811,GOR,2.0,0,0
,59189890,GOR,5.0,0,0
,63149617,GOR,7.0,1,0
,14453711,GOR,7.0,0,0
,53733842,GOR,4.0,0,0
,52536772,GOR,7.0,0,0
,99189746,GOR,6.0,0,0
,73932889,GOR,6.0,0,0
,32347789,GOR,7.0,0,0
,33838906,GOR,3.0,0,0
,16940034,DZY,7.0,0,0
,66369873,DZY,5.0,0,0
,52608027,DZY,7.0,0,0
,19071993,DZY,5.0,0,0
,64074362,DZY,7.0,0,0
,75553068,DZY,7.0,0,0
,98094781,DZY,7.0,1,0
,28070015,DZY,3.0,0,0
,07360811,DZY,4.0,0,0
,59189890,DZY,7.0,0,0
,63149617,DZY,3.0,0,0
,14453711,DZY,7.0,0,0
,53733842,DZY,5.0,0,0
,52536772,DZY,7.0,1,0
,99189746,DZY,7.0,0,0
,73932889,DZY,5.0,0,0
,32347789,DZY,3.0,0,0
,33838906,DZY,6.0,0,0
,16940034,HORN,7.0,0,0
,66369873,HORN,6.0,0,0
,52608027,HORN,6.0,0,0
,19071993,HORN,6.0,0,0
,64074362,HORN,4.0,0,0
,75553068,HORN,7.0,1,0
,98094781,HORN,7.0,0,0
,28070015,HORN,6.0,0,0
,07360811,HORN,6.0,0,0
