ID_miejsca,ID_wyscigu,Skrot,Zajete_miejsce,Kary,Numer_lodki
,52793029,OCC,1.0,0,0
,52469784,OCC,2.0,0,0
,75873347,OCC,1.0,0,0
,54917095,OCC,2.0,0,0
,99031898,OCC,1.0,0,0
,57213767,OCC,2.0,0,0
,47272319,OCC,10.0,1,0
,15175743,OCC,1.0,0,0
,91307796,OCC,5.0,0,0
,74108418,OCC,3.0,0,0
,78734207,OCC,8.0,0,0
,40608446,OCC,1.0,0,0
,13591890,OCC,4.0,0,0
,13932994,OCC,3.0,0,0
,52793029,WOL,4.0,0,0
,52469784,WOL,4.0,0,0
,75873347,WOL,3.0,0,0
,54917095,WOL,3.0,0,0
,99031898,WOL,1.0,0,0
,57213767,WOL,1.0,0,0
,47272319,WOL,3.0,0,0
,15175743,WOL,2.0,0,0
,91307796,WOL,3.0,0,0
,74108418,WOL,1.0,0,0
,78734207,WOL,6.0,0,0
,40608446,WOL,10.0,1,0
,13591890,WOL,2.0,0,0
,13932994,WOL,4.0,0,0
,52793029,SPO,5.0,0,0
,52469784,SPO,7.0,0,0
,75873347,SPO,1.0,0,0
,54917095,SPO,1.0,0,0
,99031898,SPO,2.0,0,0
,57213767,SPO,5.0,0,0
,47272319,SPO,1.0,0,0
,15175743,SPO,6.0,0,0
,91307796,SPO,1.0,0,0
,74108418,SPO,9.0,0,0
,78734207,SPO,2.0,0,0
,40608446,SPO,6.0,0,0
,13591890,SPO,6.0,0,0
,13932994,SPO,1.0,0,0
,52793029,KKZ,5.0,0,0
,52469784,KKZ,3.0,0,0
,75873347,KKZ,2.0,0,0
,54917095,KKZ,3.0,0,0
,99031898,KKZ,7.0,0,0
,57213767,KKZ,3.0,0,0
,47272319,KKZ,6.0,0,0
,15175743,KKZ,1.0,0,0
,91307796,KKZ,4.0,0,0
,74108418,KKZ,6.0,0,0
,78734207,KKZ,5.0,0,0
,40608446,KKZ,7.0,0,0
,13591890,KKZ,1.0,0,0
,13932994,KKZ,2.0,0,0
,52793029,JSG,6.0,0,0
,52469784,JSG,1.0,0,0
,75873347,JSG,6.0,0,0
,54917095,JSG,4.0,0,0
,99031898,JSG,3.0,0,0
,57213767,JSG,4.0,0,0
,47272319,JSG,5.0,0,0
,15175743,JSG,5.0,0,0
,91307796,JSG,4.0,0,0
,74108418,JSG,5.0,0,0
,78734207,JSG,2.0,0,0
,40608446,JSG,3.0,0,0
,13591890,JSG,6.0,0,0
,13932994,JSG,8.0,0,0
,52793029,ODY,1.0,0,0
,52469784,ODY,5.0,0,0
,75873347,ODY,6.0,0,0
,54917095,ODY,5.0,0,0
,99031898,ODY,5.0,0,0
,57213767,ODY,5.0,0,0
,47272319,ODY,2.0,0,0
,15175743,ODY,5.0,0,0
,91307796,ODY,5.0,0,0
,74108418,ODY,8.0,0,0
,78734207,ODY,4.0,0,0
,40608446,ODY,1.0,0,0
,13591890,ODY,5.0,0,0
,13932994,ODY,7.0,0,0
,52793029,YS2,7.0,0,0
,52469784,YS2,6.0,0,0
,75873347,YS2,8.0,0,0
,54917095,YS2,6.0,0,0
,99031898,YS2,3.0,0,0
,57213767,YS2,1.0,0,0
,47272319,YS2,2.0,0,0
,15175743,YS2,8.0,0,0
,91307796,YS2,3.0,0,0
,74108418,YS2,7.0,0,0
,78734207,YS2,1.0,0,0
,40608446,YS2,5.0,0,0
,13591890,YS2,4.0,0,0
,13932994,YS2,4.0,0,0
,52793029,GAR,4.0,0,0
,52469784,GAR,7.0,0,0
,75873347,GAR,2.0,0,0
,54917095,GAR,8.0,0,0
,99031898,GAR,8.0,0,0
,57213767,GAR,4.0,0,0
,47272319,GAR,7.0,0,0
,15175743,GAR,2.0,0,0
,91307796,GAR,6.0,0,0
,74108418,GAR,1.0,0,0
,78734207,GAR,3.0,0,0
,40608446,GAR,5.0,0,0
,13591890,GAR,5.0,0,0
,13932994,GAR,5.0,0,0
,52793029,NIE,6.0,0,0
,52469784,NIE,4.0,0,0
,75873347,NIE,5.0,0,0
,54917095,NIE,10.0,1,0
,99031898,NIE,4.0,0,0
,57213767,NIE,3.0,0,0
,47272319,NIE,1.0,0,0
,15175743,NIE,6.0,0,0
,91307796,NIE,8.0,0,0
,74108418,NIE,8.0,0,0
,78734207,NIE,1.0,0,0
,40608446,NIE,4.0,0,0
,13591890,NIE,1.0,0,0
,13932994,NIE,9.0,0,0
,52793029,PJK,2.0,0,0
,52469784,PJK,6.0,0,0
,75873347,PJK,7.0,0,0
,54917095,PJK,1.0,0,0
,99031898,PJK,5.0,0,0
,57213767,PJK,7.0,0,0
,47272319,PJK,3.0,0,0
,15175743,PJK,3.0,0,0
,91307796,PJK,2.0,0,0
,74108418,PJK,5.0,0,0
,78734207,PJK,6.0,0,0
,40608446,PJK,8.0,0,0
,13591890,PJK,9.0,0,0
,13932994,PJK,7.0,0,0
,52793029,NAV,9.0,0,0
,52469784,NAV,2.0,0,0
,75873347,NAV,7.0,0,0
,54917095,NAV,9.0,0,0
,99031898,NAV,2.0,0,0
,57213767,NAV,10.0,1,0
,47272319,NAV,7.0,0,0
