plik,poziom_z_folderu,klub
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,Ekstraklasa,JKKP
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,Ekstraklasa,TZR
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,Ekstraklasa,RMR
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,Ekstraklasa,SZT
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,Ekstraklasa,JKW
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,Ekstraklasa,AWK
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,Ekstraklasa,PGR
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,Ekstraklasa,DZY
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,Ekstraklasa,JKM
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,Ekstraklasa,YCS
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,Ekstraklasa,REW
./mnt/data/Regaty\2016\Ekstraklasa\Runda 2\2016 ekstraklasa - Świnoujście.csv,Ekstraklasa,GKZ
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,Ekstraklasa,PGR
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,Ekstraklasa,REW
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,Ekstraklasa,MOS
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,Ekstraklasa,GKZ
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,Ekstraklasa,SZT
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,Ekstraklasa,JKKP
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,Ekstraklasa,JKW
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,Ekstraklasa,AWK
./mnt/data/Regaty\2016\Ekstraklasa\Runda 3\2016 ekstraklasa - Gdynia.csv,Ekstraklasa,JKM
