ID_miejsca,ID_wyscigu,Skrot,Zajete_miejsce,Kary,Numer_lodki
,68728577,SPO,5.0,0,0
,33273748,SPO,1.0,0,0
,43495236,SPO,2.0,0,0
,51616493,SPO,4.0,0,0
,24363227,SPO,3.0,0,0
,96337138,SPO,1.0,0,0
,13364188,SPO,1.0,0,0
,02516236,SPO,1.0,0,0
,40035427,SPO,3.0,0,0
,84813468,SPO,1.0,0,0
,47074949,SPO,5.0,0,0
,15272233,SPO,1.0,0,0
,68728577,YCB,3.0,0,0
,33273748,YCB,4.0,0,0
,43495236,YCB,4.0,0,0
,51616493,YCB,6.0,0,0
,24363227,YCB,1.0,0,0
,96337138,YCB,3.0,0,0
,13364188,YCB,3.0,0,0
,02516236,YCB,1.0,0,0
,40035427,YCB,2.0,0,0
,84813468,YCB,5.0,0,0
,47074949,YCB,1.0,0,0
,15272233,YCB,6.0,0,0
,68728577,SLA,2.0,0,0
,33273748,SLA,4.0,0,0
,43495236,SLA,1.0,0,0
,51616493,SLA,4.0,0,0
,24363227,SLA,4.0,0,0
,96337138,SLA,3.0,0,0
,13364188,SLA,4.0,0,0
,02516236,SLA,3.0,0,0
,40035427,SLA,1.0,0,0
,84813468,SLA,8.0,0,0
,47074949,SLA,3.0,0,0
,15272233,SLA,2.0,0,0
,68728577,WOL,3.0,0,0
,33273748,WOL,5.0,0,0
,43495236,WOL,7.0,0,0
,51616493,WOL,1.0,0,0
,24363227,WOL,8.0,0,0
,96337138,WOL,6.0,0,0
,13364188,WOL,2.0,0,0
,02516236,WOL,2.0,0,0
,40035427,WOL,7.0,0,0
,84813468,WOL,6.0,0,0
,47074949,WOL,1.0,0,0
,15272233,WOL,1.0,0,0
,68728577,KKZ,6.0,0,0
,33273748,KKZ,7.0,0,0
,43495236,KKZ,3.0,0,0
,51616493,KKZ,3.0,0,0
,24363227,KKZ,5.0,0,0
,96337138,KKZ,1.0,0,0
,13364188,KKZ,3.0,0,0
,02516236,KKZ,5.0,0,0
,40035427,KKZ,1.0,0,0
,84813468,KKZ,3.0,0,0
,47074949,KKZ,3.0,0,0
,15272233,KKZ,10.0,1,0
,68728577,OCC,4.0,0,0
,33273748,OCC,6.0,0,0
,43495236,OCC,6.0,0,0
,51616493,OCC,8.0,0,0
,24363227,OCC,6.0,0,0
