ID_wystepowania,ID_Zawodnika,ID_Regat,Skrot,Trening
299402,29940,202421,AWF,
520602,52060,202421,AWF,
582082,58208,202421,AWF,
224913,22491,202431,AWF,
582083,58208,202431,AWF,
152683,15268,202431,AWF,
520603,52060,202431,AWF,
520604,52060,202441,AWF,
955224,95522,202441,AWF,
582084,58208,202441,AWF,
152684,15268,202441,AWF,
701491,70149,202411,YKL,
896531,89653,202411,YKL,
560021,56002,202411,YKL,
22481,2248,202411,YKL,
653151,65315,202411,YKL,
701492,70149,202421,YKL,
896532,89653,202421,YKL,
653152,65315,202421,YKL,
683532,68353,202421,YKL,
701493,70149,202431,YKL,
896533,89653,202431,YKL,
22483,2248,202431,YKL,
560023,56002,202431,YKL,
701494,70149,202441,YKL,
896534,89653,202441,YKL,
560024,56002,202441,YKL,
653154,65315,202441,YKL,
259801,25980,202411,RSR,
862201,86220,202411,RSR,
774001,77400,202411,RSR,
934541,93454,202411,RSR,
259802,25980,202421,RSR,
748072,74807,202421,RSR,
934542,93454,202421,RSR,
774002,77400,202421,RSR,
259803,25980,202431,RSR,
774003,77400,202431,RSR,
748073,74807,202431,RSR,
934543,93454,202431,RSR,
748074,74807,202441,RSR,
259804,25980,202441,RSR,
774004,77400,202441,RSR,
934544,93454,202441,RSR,
40021,4002,202411,WOL,
61761,6176,202411,WOL,
719631,71963,202411,WOL,
433521,43352,202411,WOL,
40022,4002,202421,WOL,
433522,43352,202421,WOL,
886952,88695,202421,WOL,
61762,6176,202421,WOL,
903692,90369,202421,WOL,
40023,4002,202431,WOL,
433523,43352,202431,WOL,
886953,88695,202431,WOL,
719633,71963,202431,WOL,
433524,43352,202441,WOL,
719634,71963,202441,WOL,
40024,4002,202441,WOL,
886954,88695,202441,WOL,
739564,73956,202441,WOL,
260251,26025,202411,SPO,
768211,76821,202411,SPO,
65571,6557,202411,SPO,
107921,10792,202411,SPO,
635732,63573,202421,SPO,
65572,6557,202421,SPO,
768212,76821,202421,SPO,
260252,26025,202421,SPO,
107922,10792,202421,SPO,
107923,10792,202431,SPO,
984183,98418,202431,SPO,
768213,76821,202431,SPO,
635733,63573,202431,SPO,
107924,10792,202441,SPO,
768214,76821,202441,SPO,
984184,98418,202441,SPO,
635734,63573,202441,SPO,
586871,58687,202411,KKZ,
610601,61060,202411,KKZ,
126761,12676,202411,KKZ,
266861,26686,202411,KKZ,
610602,61060,202421,KKZ,
586872,58687,202421,KKZ,
266862,26686,202421,KKZ,
656342,65634,202421,KKZ,
586873,58687,202431,KKZ,
610603,61060,202431,KKZ,
656343,65634,202431,KKZ,
266863,26686,202431,KKZ,
610604,61060,202441,KKZ,
586874,58687,202441,KKZ,
656344,65634,202441,KKZ,
66704,6670,202441,KKZ,
95091,9509,202411,OCC,
457601,45760,202411,OCC,
438981,43898,202411,OCC,
595711,59571,202411,OCC,
117232,11723,202421,OCC,
786832,78683,202421,OCC,
483392,48339,202421,OCC,
617002,61700,202421,OCC,
595712,59571,202421,OCC,
95093,9509,202431,OCC,
457603,45760,202431,OCC,
595713,59571,202431,OCC,
438983,43898,202431,OCC,
84603,8460,202431,OCC,
84604,8460,202441,OCC,
95094,9509,202441,OCC,
457604,45760,202441,OCC,
299754,29975,202441,OCC,
