ID_wyscigu,ID_Regat,Numer_wyscigu,Finalowy
2024121,202411,F1,False
2024122,202411,F2,False
2024123,202411,F3,False
2024124,202411,F4,False
2024125,202411,F5,False
2024126,202411,F6,False
2024127,202411,F7,False
2024120,202411,FNL,True
2024221,202421,F1,False
2024222,202421,F2,False
2024223,202421,F3,False
2024224,202421,F4,False
2024225,202421,F5,False
2024226,202421,F6,False
2024227,202421,F7,False
2024228,202421,F8,False
2024220,202421,FNL,True
2024321,202431,F1,False
2024322,202431,F2,False
2024323,202431,F3,False
2024324,202431,F4,False
2024325,202431,F5,False
2024326,202431,F6,False
2024327,202431,F7,False
2024328,202431,F8,False
2024329,202431,F9,False
20243210,202431,F10,False
2024320,202431,FNL,True
2024421,202441,F1,False
2024422,202441,F2,False
2024423,202441,F3,False
2024424,202441,F4,False
2024425,202441,F5,False
2024426,202441,F6,False
2024427,202441,F7,False
2024428,202441,F8,False
2024429,202441,F9,False
20244210,202441,F10,False
20244211,202441,F11,False
20244212,202441,F12,False
20244213,202441,F13,False
20244214,202441,F14,False
2024420,202441,FNL,True
