ID_Regat,Nazwa,Liga_Poziom,Miasto,Numer_Rundy,Rok
202411,Ekstraklasa - Runda 1,Ekstraklasa,Nowy Sztynort,1,2024
202421,Ekstraklasa - Runda 2,Ekstraklasa,Sopot,2,2024
202431,Ekstraklasa - Runda 3,Ekstraklasa,Gdynia,3,2024
202441,Ekstraklasa - Runda 4,Ekstraklasa,Szczecin,4,2024
